"id_sensor","time","saddr","mosf1_min","mosf1_avg","mosf2_min","mosf2_avg","mosAD_min","mosAD_avg","jitter_max","jitter_avg","loss_max_mult10","loss_avg_mult10","counter"
902,"2018-05-14 00:02:20",1275790787,45,45,45,45,45,45,0,0,0,0,1
902,"2018-05-14 00:02:20",1654599251,45,45,45,45,45,45,0,0,0,0,2
501,"2018-05-14 00:02:20",3227975250,45,45,45,45,45,45,0,0,0,0,2
501,"2018-05-14 00:02:20",3495526934,45,45,45,45,45,45,0,0,0,0,1
902,"2018-05-14 00:02:20",3507482152,45,45,45,45,45,45,2,2,0,0,1
501,"2018-05-14 00:02:30",845308522,45,45,45,45,45,45,0,0,0,0,1
902,"2018-05-14 00:02:30",1275790787,45,45,45,45,45,45,0,0,0,0,1
902,"2018-05-14 00:02:30",1654599251,45,45,45,45,45,45,0,0,0,0,2
501,"2018-05-14 00:02:30",3227975250,45,45,45,45,45,45,0,0,0,0,2
501,"2018-05-14 00:02:30",3495526934,45,45,45,45,45,45,0,0,0,0,1
902,"2018-05-14 00:02:30",3507482152,45,45,45,45,45,45,1,1,0,0,1
501,"2018-05-14 00:02:40",845308522,45,45,45,45,45,45,0,0,0,0,1
902,"2018-05-14 00:02:40",1275790787,45,45,45,45,45,45,0,0,0,0,1
902,"2018-05-14 00:02:40",1654599251,45,45,45,45,45,45,0,0,0,0,2
501,"2018-05-14 00:02:40",3227975250,45,45,45,45,45,45,0,0,0,0,1
902,"2018-05-14 00:02:40",3507482152,45,45,45,45,45,45,2,2,0,0,1
501,"2018-05-14 00:02:50",845308522,45,45,45,45,45,45,1,1,0,0,1
902,"2018-05-14 00:02:50",1275790787,45,45,45,45,45,45,0,0,0,0,1
902,"2018-05-14 00:02:50",1654599251,45,45,45,45,45,45,0,0,0,0,1
501,"2018-05-14 00:02:50",3227975250,45,45,45,45,45,45,0,0,0,0,2
501,"2018-05-14 00:02:50",3495526934,45,45,45,45,45,45,0,0,0,0,1
501,"2018-05-14 00:03:00",845308522,45,45,45,45,45,45,0,0,0,0,1
902,"2018-05-14 00:03:00",1654599251,45,45,45,45,45,45,0,0,0,0,1
501,"2018-05-14 00:03:00",3227975250,45,45,45,45,45,45,0,0,0,0,2
501,"2018-05-14 00:03:00",3495526934,45,45,45,45,45,45,0,0,0,0,1
902,"2018-05-14 00:03:00",3507482152,45,45,45,45,45,45,1,1,0,0,1
902,"2018-05-14 00:03:10",1275790787,45,45,45,45,45,45,0,0,0,0,1
902,"2018-05-14 00:03:10",1654599251,45,45,45,45,45,45,0,0,0,0,2
501,"2018-05-14 00:03:10",3227975250,45,45,45,45,45,45,0,0,0,0,1
501,"2018-05-14 00:03:10",3495526934,45,45,45,45,45,45,0,0,0,0,1
902,"2018-05-14 00:03:10",3507482152,45,45,45,45,45,45,2,2,0,0,1
501,"2018-05-14 00:03:20",845308522,45,45,45,45,45,45,1,1,0,0,1
501,"2018-05-14 00:03:20",3227975250,45,45,45,45,45,45,0,0,0,0,2
501,"2018-05-14 00:03:20",3495526934,45,45,45,45,45,45,0,0,0,0,1
501,"2018-05-14 00:03:30",845308522,45,45,45,45,45,45,1,1,0,0,1
501,"2018-05-14 00:03:30",3227975250,45,45,45,45,45,45,0,0,0,0,2
501,"2018-05-14 00:03:30",3495526934,45,45,45,45,45,45,0,0,0,0,1
801,"2018-05-14 00:03:40",70713922,45,45,45,45,45,45,0,0,0,0,1
802,"2018-05-14 00:03:40",70713922,45,45,45,45,45,45,0,0,0,0,1
501,"2018-05-14 00:03:40",845308522,45,45,45,45,45,45,0,0,0,0,1
501,"2018-05-14 00:03:40",3227975250,45,45,45,45,45,45,0,0,0,0,2
501,"2018-05-14 00:03:40",3495526934,45,45,45,45,45,45,0,0,0,0,1
801,"2018-05-14 00:03:50",70713922,45,45,45,45,45,45,0,0,0,0,1
802,"2018-05-14 00:03:50",70713922,45,45,45,45,45,45,0,0,0,0,1
501,"2018-05-14 00:03:50",845308522,45,45,45,45,45,45,0,0,0,0,1
501,"2018-05-14 00:03:50",3227975250,45,45,45,45,45,45,0,0,0,0,2
801,"2018-05-14 00:03:50",3227975507,45,45,45,45,45,45,0,0,0,0,1
802,"2018-05-14 00:03:50",3227975507,45,45,45,45,45,45,0,0,0,0,1
801,"2018-05-14 00:03:50",3494121763,45,45,45,45,45,45,4,4,0,0,1
802,"2018-05-14 00:03:50",3494121763,45,45,45,45,45,45,4,4,0,0,1
501,"2018-05-14 00:03:50",3495526934,45,45,45,45,45,45,0,0,0,0,1
801,"2018-05-14 00:04:00",70713922,45,45,45,45,45,45,0,0,0,0,1
802,"2018-05-14 00:04:00",70713922,45,45,45,45,45,45,0,0,0,0,1
501,"2018-05-14 00:04:00",845308522,45,45,45,45,45,45,1,1,0,0,1
501,"2018-05-14 00:04:00",3227975250,45,45,45,45,45,45,0,0,0,0,2
801,"2018-05-14 00:04:00",3227975507,45,45,45,45,40,40,0,0,0,0,2
802,"2018-05-14 00:04:00",3227975507,45,45,45,45,40,40,0,0,0,0,2
801,"2018-05-14 00:04:00",3494121763,45,45,45,45,45,45,3,3,0,0,1
802,"2018-05-14 00:04:00",3494121763,45,45,45,45,45,45,3,3,0,0,1
501,"2018-05-14 00:04:00",3495526934,45,45,45,45,45,45,0,0,0,0,1
801,"2018-05-14 00:04:10",70713922,45,45,45,45,45,45,0,0,0,0,1
802,"2018-05-14 00:04:10",70713922,45,45,45,45,45,45,0,0,0,0,1
501,"2018-05-14 00:04:10",845308522,45,45,45,45,45,45,1,1,0,0,1
501,"2018-05-14 00:04:10",3227975250,45,45,45,45,45,45,0,0,0,0,2
801,"2018-05-14 00:04:10",3227975507,45,45,45,45,45,45,0,0,0,0,2
802,"2018-05-14 00:04:10",3227975507,45,45,45,45,45,45,0,0,0,0,2
801,"2018-05-14 00:04:10",3494121763,45,45,45,45,45,45,5,5,0,0,1
802,"2018-05-14 00:04:10",3494121763,45,45,45,45,45,45,4,4,0,0,1
501,"2018-05-14 00:04:10",3495526934,45,45,45,45,45,45,0,0,0,0,1
501,"2018-05-14 00:04:20",845308522,45,45,45,45,45,45,0,0,0,0,1
501,"2018-05-14 00:04:20",3227975250,45,45,45,45,45,45,0,0,0,0,2
801,"2018-05-14 00:04:20",3227975507,45,45,45,45,45,45,0,0,1,0,2
802,"2018-05-14 00:04:20",3227975507,45,45,45,45,45,45,0,0,0,0,2
801,"2018-05-14 00:04:20",3494121763,45,45,45,45,45,45,3,3,0,0,1
802,"2018-05-14 00:04:20",3494121763,45,45,45,45,45,45,3,3,0,0,1
501,"2018-05-14 00:04:20",3495526934,45,45,45,45,45,45,0,0,0,0,1
801,"2018-05-14 00:04:30",70713922,45,45,45,45,45,45,0,0,0,0,1
802,"2018-05-14 00:04:30",70713922,45,45,45,45,45,45,0,0,0,0,1
501,"2018-05-14 00:04:30",845308522,45,45,45,45,45,45,1,1,0,0,1
501,"2018-05-14 00:04:30",3227975250,45,45,45,45,45,45,0,0,0,0,1
