"ID","cdr_ID","calldate","saddr","daddr","dport","ssrc","received","loss","firsttime","payload","maxjitter_mult10","index","flags"
96090580,76107764,"2018-05-01 12:11:23",3227975506,3507478253,19900,525561723,3016,0,3.87,0,4,1,NULL
96090581,76107764,"2018-05-01 12:11:23",3507478253,3227975506,26246,290394723,3063,0,4.09354,0,115,2,NULL
96090582,76107766,"2018-05-01 12:11:24",3493042716,3227975506,25036,3442178852,3018,0,2.68427,0,4,1,NULL
96090583,76107766,"2018-05-01 12:11:24",3227975506,3493042716,13008,3378468076,2904,2,3.00334,0,50,2,NULL
96090584,76107767,"2018-05-01 12:11:23",3227975506,3507478253,19900,525561723,3015,0,3.86998,0,3,1,NULL
96090585,76107767,"2018-05-01 12:11:23",3507478253,3227975506,26246,290394723,3063,0,4.09366,0,114,2,NULL
96090586,76107770,"2018-05-01 12:11:24",3493042716,3227975506,25036,3442178852,3018,0,2.68362,0,1,1,NULL
96090587,76107770,"2018-05-01 12:11:24",3227975506,3493042716,13008,3378468076,2906,0,3.00269,0,50,2,NULL
96090588,76107773,"2018-05-01 12:10:58",417230089,1654599250,29420,449010659,4669,0,0.136282,0,3,1,2
96090589,76107773,"2018-05-01 12:10:58",1654599250,417230089,7890,389132738,2383,0,1.18633,0,16,2,2
96090590,76107774,"2018-05-01 12:10:58",1654599250,3507478246,16648,3875023666,4663,0,0.081793,0,4,1,2
96090591,76107774,"2018-05-01 12:10:58",3507478246,1654599250,28752,1579893374,2391,1,1.0899,0,22,2,2
96090592,76107778,"2018-05-01 12:11:43",3227975507,411685143,7110,1020353807,2802,0,0.8368,0,5,1,NULL
96090593,76107778,"2018-05-01 12:11:43",411685143,3227975507,25450,159674930,2799,0,0.89348,0,10,2,NULL
96090594,76107781,"2018-05-01 12:12:08",1654599250,2904576785,5126,387879768,904,0,1.99066,9,25,1,2
96090595,76107781,"2018-05-01 12:12:08",2904576785,1654599250,27226,1723805715,198,0,2.24592,9,52,2,NULL
96090596,76107781,"2018-05-01 12:12:08",2904576785,1654599250,27226,1026233229,685,0,6.53943,9,45,3,2
96090597,76107782,"2018-05-01 12:12:09",411685143,1654599250,17594,1950250684,915,0,1.23788,0,7,1,2
96090598,76107782,"2018-05-01 12:12:09",1654599250,411685143,7500,2935918473,852,0,1.61312,0,232,2,2
96090599,76107785,"2018-05-01 12:11:52",3227975486,1145337708,7842,1191510408,2233,0,2.24831,0,23,1,NULL
96090600,76107785,"2018-05-01 12:11:52",1145337708,3227975486,22686,2608521003,2370,0,2.27124,0,2,2,NULL
96090601,76107786,"2018-05-01 12:12:34",1145337708,3227975486,23046,3680912938,383,0,0.093112,0,0,1,NULL
96090602,76107786,"2018-05-01 12:12:34",3227975486,1145337708,13356,1191082674,361,0,1.19315,0,1,2,NULL
96090603,76107787,"2018-05-01 12:11:43",3227975507,411685143,7110,1020353807,2802,0,0.836954,0,5,1,NULL
96090604,76107787,"2018-05-01 12:11:43",411685143,3227975507,25450,159674930,2799,0,0.893623,0,10,2,NULL
96090605,76107789,"2018-05-01 12:09:41",3227975507,3495526469,28266,1022795589,9147,0,1.21641,9,112,1,NULL
96090606,76107789,"2018-05-01 12:09:41",3495526469,3227975507,20090,1773407083,9194,0,1.24665,9,4,2,NULL
96090607,76107790,"2018-05-01 12:09:42",3227975507,3638379143,2330,1966015430,6424,0,6.32225,9,6,1,NULL
96090608,76107790,"2018-05-01 12:09:42",3638379143,3227975507,29328,169305785,6416,0,6.33287,9,96,2,NULL
96090609,76107791,"2018-05-01 12:12:21",3227975507,1249402142,7788,1032531621,1149,0,1.12417,0,6,1,NULL
96090610,76107791,"2018-05-01 12:12:21",1249402142,3227975507,19736,157314318,1131,0,1.46699,0,2,2,NULL
96090611,76107793,"2018-05-01 12:10:15",3227975507,755177258,2250,1018402311,7334,0,3.14872,9,392,1,NULL
96090612,76107793,"2018-05-01 12:10:15",755177258,3227975507,24642,3866771761,7328,0,3.24961,9,187,2,NULL
96090613,76107794,"2018-05-01 12:11:20",3227975506,3495526469,30702,518862520,4082,0,1.39298,9,75,1,NULL
96090614,76107794,"2018-05-01 12:11:20",3495526469,3227975506,19778,74266927,4104,1,1.46512,9,4,2,NULL
96090615,76107795,"2018-05-01 12:10:16",3438593084,3227975507,20312,3653648677,7039,0,7.76873,0,5,1,NULL
96090616,76107795,"2018-05-01 12:10:16",3227975507,3438593084,11656,2197890152,7018,0,7.85797,0,95,2,NULL
96090617,76107796,"2018-05-01 12:11:21",3227975506,1082947184,2252,526314393,17,0,7.3024,9,0,1,NULL
96090618,76107796,"2018-05-01 12:11:21",1082947184,3227975506,26524,1032606056,3740,0,7.36796,9,180,2,NULL
96090619,76107796,"2018-05-01 12:11:21",3227975506,1082947184,1046,526314393,3732,0,7.60245,9,4,3,NULL
96090620,76107797,"2018-05-01 12:11:52",3227975486,1145337708,7842,1191510408,2233,0,2.24832,0,23,1,NULL
96090621,76107797,"2018-05-01 12:11:52",1145337708,3227975486,22686,2608521003,2371,0,2.27134,0,3,2,NULL
96090622,76107798,"2018-05-01 12:10:39",3227975507,3638379600,2266,2031217551,6083,2,3.56368,9,12,1,NULL
96090623,76107798,"2018-05-01 12:10:39",3638379600,3227975507,17288,123091329,6077,1,3.61053,9,35,2,NULL
96090624,76107799,"2018-05-01 12:10:38",3227975507,3638379600,2224,1030700734,6243,2,1.47304,9,14,1,NULL
96090625,76107799,"2018-05-01 12:10:38",3638379600,3227975507,27846,1247868812,6253,0,1.58218,9,34,2,NULL
96090626,76107800,"2018-05-01 12:12:34",1145337708,3227975486,23046,3680912938,384,0,0.094011,0,3,1,NULL
96090627,76107800,"2018-05-01 12:12:34",3227975486,1145337708,13356,1191082674,361,0,1.19407,0,1,2,NULL
96090628,76107801,"2018-05-01 12:10:15",3227975507,755177258,2250,1018402311,7334,0,3.14903,9,392,1,NULL
96090629,76107801,"2018-05-01 12:10:15",755177258,3227975507,24642,3866771761,7327,0,3.24976,9,187,2,NULL
96090630,76107802,"2018-05-01 12:11:20",3227975506,3495526469,30702,518862520,4081,0,1.39281,9,75,1,NULL
96090631,76107802,"2018-05-01 12:11:20",3495526469,3227975506,19778,74266927,4104,0,1.46502,9,1,2,NULL
96090632,76107803,"2018-05-01 12:09:42",3227975507,3638379143,2330,1966015430,6422,0,6.32104,9,3,1,NULL
96090633,76107803,"2018-05-01 12:09:42",3638379143,3227975507,29328,169305785,6415,0,6.33164,9,96,2,NULL
96090634,76107804,"2018-05-01 12:12:21",3227975507,1249402142,7788,1032531621,1149,0,1.124,0,3,1,NULL
96090635,76107804,"2018-05-01 12:12:21",1249402142,3227975507,19736,157314318,1130,0,1.46694,0,1,2,NULL
96090636,76107805,"2018-05-01 12:11:21",3227975506,1082947184,2252,526314393,15,0,7.30148,9,0,1,NULL
96090637,76107805,"2018-05-01 12:11:21",1082947184,3227975506,26524,1032606056,3740,0,7.36705,9,180,2,NULL
96090638,76107805,"2018-05-01 12:11:21",3227975506,1082947184,1046,526314393,3732,0,7.6017,9,3,3,NULL
96090639,76107807,"2018-05-01 12:09:41",3227975507,3495526469,28266,1022795589,9146,0,1.21643,9,112,1,NULL
96090640,76107807,"2018-05-01 12:09:41",3495526469,3227975507,20090,1773407083,9193,0,1.24654,9,1,2,NULL
96090641,76107808,"2018-05-01 12:10:16",3438593084,3227975507,20312,3653648677,7040,0,7.76812,0,4,1,NULL
96090642,76107808,"2018-05-01 12:10:16",3227975507,3438593084,11656,2197890152,7018,0,7.85721,0,95,2,NULL
96090643,76107810,"2018-05-01 12:10:38",3227975507,3638379600,2224,1030700734,6244,0,1.47316,9,13,1,NULL
96090644,76107810,"2018-05-01 12:10:38",3638379600,3227975507,27846,1247868812,6251,0,1.58222,9,34,2,NULL
96090645,76107811,"2018-05-01 12:10:39",3227975507,3638379600,2266,2031217551,6082,0,3.56221,9,13,1,NULL
96090646,76107811,"2018-05-01 12:10:39",3638379600,3227975507,17288,123091329,6078,0,3.60883,9,35,2,NULL
96090647,76107812,"2018-05-01 12:07:06",1275790787,3227975507,28874,21569254,17603,0,3.75704,0,25,1,NULL
96090648,76107812,"2018-05-01 12:07:06",3227975507,1275790787,6060,1018942010,17332,0,4.81943,0,36,2,NULL
96090649,76107814,"2018-05-01 12:11:41",3227975507,1210478362,2256,1029152829,3771,0,1.46857,9,13,1,NULL
96090650,76107814,"2018-05-01 12:11:41",1210478362,3227975507,31918,874584542,3779,6,1.58556,9,60,2,NULL
96090651,76107816,"2018-05-01 12:07:06",3227975507,3507478251,17956,3137527546,17590,0,3.03136,0,8,1,NULL
96090652,76107816,"2018-05-01 12:07:06",3507478251,3227975507,26098,439157807,13117,0,4.03244,0,36,2,NULL
96090653,76107816,"2018-05-01 12:07:06",3507478251,3227975507,26098,36374906,4243,0,270.208,0,63,3,NULL
96090654,76107818,"2018-05-01 12:11:43",3227975507,1210478362,2278,866041455,3693,0,1.96187,9,4,1,NULL
96090655,76107818,"2018-05-01 12:11:43",1210478362,3227975507,18112,335079580,3687,6,2.00263,9,58,2,NULL
96090656,76107821,"2018-05-01 12:11:41",3227975507,1210478362,2256,1029152829,3771,0,1.4684,9,13,1,NULL
96090657,76107821,"2018-05-01 12:11:41",1210478362,3227975507,31918,874584542,3782,6,1.58569,9,60,2,NULL
96090658,76107824,"2018-05-01 12:11:43",3227975507,1210478362,2278,866041455,3694,0,1.96285,9,4,1,NULL
96090659,76107824,"2018-05-01 12:11:43",1210478362,3227975507,18112,335079580,3687,6,2.00361,9,59,2,NULL
96090660,76107827,"2018-05-01 12:11:32",3227975506,755171943,2268,527512836,4439,0,3.5713,9,4,1,NULL
96090661,76107827,"2018-05-01 12:11:32",755171943,3227975506,26434,386277344,4434,0,3.66624,9,9,2,NULL
96090662,76107829,"2018-05-01 12:11:34",3438593084,3227975506,16890,1523838067,2626,0,38.2869,0,1,1,NULL
96090663,76107829,"2018-05-01 12:11:34",3227975506,3438593084,10594,3579163478,2614,0,38.356,0,13,2,NULL
