"ID","cdr_ID","calldate","type","pos"
419340852,76100492,"2018-05-01 00:01:41",2,4462080
419340876,76100495,"2018-05-01 00:02:02",2,0
419340895,76100504,"2018-05-01 00:00:27",2,1584128
419340896,76100504,"2018-05-01 00:00:27",2,2800128
419340897,76100504,"2018-05-01 00:00:27",2,3938304
419340898,76100504,"2018-05-01 00:00:27",2,4825600
419340899,76100504,"2018-05-01 00:00:27",2,6032384
419340900,76100504,"2018-05-01 00:00:27",2,6919680
419340901,76100504,"2018-05-01 00:00:27",2,7872512
419340902,76100504,"2018-05-01 00:00:27",2,8727040
419340903,76100504,"2018-05-01 00:00:27",2,9497088
419340904,76100504,"2018-05-01 00:00:27",2,9694208
419340905,76100504,"2018-05-01 00:00:27",2,10384384
419340906,76100504,"2018-05-01 00:00:27",3,137728
419340907,76100504,"2018-05-01 00:00:27",3,157696
419340908,76100505,"2018-05-01 00:01:32",2,743936
419340909,76100505,"2018-05-01 00:01:32",2,1532416
419340910,76100505,"2018-05-01 00:01:32",2,3246080
419340911,76100505,"2018-05-01 00:01:32",2,5065728
419340912,76100506,"2018-05-01 00:01:35",2,1302528
419340913,76100506,"2018-05-01 00:01:35",2,2917376
419340914,76100506,"2018-05-01 00:01:35",2,4297728
419340915,76100506,"2018-05-01 00:01:35",2,5190656
419340916,76100507,"2018-05-01 00:01:24",2,546816
419340917,76100507,"2018-05-01 00:01:24",2,941056
419340918,76100507,"2018-05-01 00:01:24",2,1893888
419340919,76100507,"2018-05-01 00:01:24",2,2523136
419340920,76100507,"2018-05-01 00:01:24",2,3607552
419340921,76100507,"2018-05-01 00:01:24",2,3969024
419340922,76100507,"2018-05-01 00:01:24",2,4507136
419340923,76100507,"2018-05-01 00:01:24",2,5559296
419340924,76100512,"2018-05-01 00:01:48",2,2968576
419340925,76100512,"2018-05-01 00:01:48",2,4149248
419340926,76100512,"2018-05-01 00:01:48",2,5861888
419340927,76100512,"2018-05-01 00:01:48",3,51200
419340928,76100512,"2018-05-01 00:01:48",3,58880
419340929,76100513,"2018-05-01 00:01:49",2,2804224
419340930,76100513,"2018-05-01 00:01:49",2,3984896
419340931,76100513,"2018-05-01 00:01:49",2,5726720
419340932,76100513,"2018-05-01 00:01:49",3,74752
419340933,76100513,"2018-05-01 00:01:49",3,82432
419340934,76100514,"2018-05-01 00:01:57",2,5995520
419340935,76100514,"2018-05-01 00:01:57",3,66560
419340936,76100514,"2018-05-01 00:01:57",3,70656
419340937,76100515,"2018-05-01 00:01:04",2,0
419340938,76100515,"2018-05-01 00:01:04",2,185344
419340939,76100515,"2018-05-01 00:01:04",2,382464
419340940,76100515,"2018-05-01 00:01:04",2,1105408
419340941,76100515,"2018-05-01 00:01:04",2,2091008
419340942,76100515,"2018-05-01 00:01:04",2,3081728
419340943,76100515,"2018-05-01 00:01:04",2,4133376
419340944,76100515,"2018-05-01 00:01:04",2,4704256
419340945,76100515,"2018-05-01 00:01:04",2,5644800
419340946,76100515,"2018-05-01 00:01:04",2,5973504
419340947,76100520,"2018-05-01 00:01:41",2,1696768
419340948,76100520,"2018-05-01 00:01:41",2,2720256
419340949,76100520,"2018-05-01 00:01:41",2,3804672
419340950,76100520,"2018-05-01 00:01:41",2,4868608
419340951,76100520,"2018-05-01 00:01:41",2,5809152
419340952,76100520,"2018-05-01 00:01:41",2,6041088
419340953,76100521,"2018-05-01 00:02:23",2,1096192
419340954,76100521,"2018-05-01 00:02:23",3,0
419340955,76100521,"2018-05-01 00:02:23",3,1536
419340956,76100522,"2018-05-01 00:02:25",2,1051648
419340957,76100522,"2018-05-01 00:02:25",3,3072
419340958,76100522,"2018-05-01 00:02:25",3,4608
419340959,76100532,"2018-05-01 00:02:29",2,1363456
419340960,76100532,"2018-05-01 00:02:29",2,1856512
419340961,76100532,"2018-05-01 00:02:29",3,6144
419340962,76100532,"2018-05-01 00:02:29",3,9728
419340963,76100533,"2018-05-01 00:01:20",2,1070080
419340964,76100533,"2018-05-01 00:01:20",2,1742336
419340965,76100533,"2018-05-01 00:01:20",2,2475520
419340966,76100533,"2018-05-01 00:01:20",2,3297280
419340967,76100533,"2018-05-01 00:01:20",2,4675072
419340968,76100533,"2018-05-01 00:01:20",2,5398016
419340969,76100533,"2018-05-01 00:01:20",2,6433280
419340970,76100533,"2018-05-01 00:01:20",2,7156224
419340971,76100533,"2018-05-01 00:01:20",2,7879168
419340972,76100533,"2018-05-01 00:01:20",2,8978944
419340973,76100533,"2018-05-01 00:01:20",3,134144
419340974,76100533,"2018-05-01 00:01:20",3,148992
419340975,76100535,"2018-05-01 00:01:22",2,905728
419340976,76100535,"2018-05-01 00:01:22",2,1577984
419340977,76100535,"2018-05-01 00:01:22",2,2311168
419340978,76100535,"2018-05-01 00:01:22",2,3132928
419340979,76100535,"2018-05-01 00:01:22",2,4313600
419340980,76100535,"2018-05-01 00:01:22",2,5036544
419340981,76100535,"2018-05-01 00:01:22",2,6104576
419340982,76100535,"2018-05-01 00:01:22",2,6761984
419340983,76100535,"2018-05-01 00:01:22",2,7517696
419340984,76100535,"2018-05-01 00:01:22",2,8207872
419340985,76100535,"2018-05-01 00:01:22",2,8898048
419340986,76100535,"2018-05-01 00:01:22",3,90112
419340987,76100535,"2018-05-01 00:01:22",3,112128
419340988,76100537,"2018-05-01 00:02:28",2,308224
419340989,76100537,"2018-05-01 00:02:28",2,636928
419341043,76100542,"2018-05-01 00:00:11",2,186368
419341044,76100542,"2018-05-01 00:00:11",2,547840
419341045,76100542,"2018-05-01 00:00:11",2,1255424
419341046,76100542,"2018-05-01 00:00:11",2,2077184
419341047,76100542,"2018-05-01 00:00:11",2,3445248
419341048,76100542,"2018-05-01 00:00:11",2,4661248
419341049,76100542,"2018-05-01 00:00:11",2,5868032
419341050,76100542,"2018-05-01 00:00:11",2,6590976
419341051,76100542,"2018-05-01 00:00:11",2,7708160
419341052,76100542,"2018-05-01 00:00:11",2,8562688
419341053,76100542,"2018-05-01 00:00:11",2,9168384
419341054,76100542,"2018-05-01 00:00:11",2,9858560
419341055,76100542,"2018-05-01 00:00:11",2,10187264
419341056,76100542,"2018-05-01 00:00:11",2,10735104
419341057,76100542,"2018-05-01 00:00:11",2,10899456
419341058,76100542,"2018-05-01 00:00:11",2,11228160
419341059,76100542,"2018-05-01 00:00:11",2,11556864
419341060,76100542,"2018-05-01 00:00:11",2,11918336
419341061,76100542,"2018-05-01 00:00:11",2,12115456
419341062,76100542,"2018-05-01 00:00:11",2,12476928
419341063,76100542,"2018-05-01 00:00:11",3,177664
419341064,76100542,"2018-05-01 00:00:11",3,297472
419341065,76100543,"2018-05-01 00:00:10",2,383488
419341066,76100543,"2018-05-01 00:00:10",2,876544
419341067,76100543,"2018-05-01 00:00:10",2,1912832
419341068,76100543,"2018-05-01 00:00:10",2,3609600
419341069,76100543,"2018-05-01 00:00:10",2,5384192
419341070,76100543,"2018-05-01 00:00:10",2,6755328
419341071,76100543,"2018-05-01 00:00:10",2,8398336
419341072,76100543,"2018-05-01 00:00:10",2,9332736
419341073,76100543,"2018-05-01 00:00:10",2,10022912
419341074,76100543,"2018-05-01 00:00:10",2,10570752
419341075,76100543,"2018-05-01 00:00:10",2,11063808
419341076,76100543,"2018-05-01 00:00:10",2,11392512
419341077,76100543,"2018-05-01 00:00:10",2,11753984
419341078,76100543,"2018-05-01 00:00:10",2,12312576
419341079,76100543,"2018-05-01 00:00:10",2,12532736
419341080,76100543,"2018-05-01 00:00:10",3,217600
419341081,76100543,"2018-05-01 00:00:10",3,257536
419341135,76100552,"2018-05-01 00:02:50",2,111104
419341136,76100552,"2018-05-01 00:02:50",2,472576
419341137,76100552,"2018-05-01 00:02:50",2,696832
419341191,76100557,"2018-05-01 00:02:56",2,5174272
419341192,76100557,"2018-05-01 00:02:56",3,13312
419341221,76100561,"2018-05-01 00:03:03",2,0
419341222,76100561,"2018-05-01 00:03:03",2,361472
419341223,76100561,"2018-05-01 00:03:03",2,525824
419341224,76100561,"2018-05-01 00:03:03",2,887296
419341225,76100561,"2018-05-01 00:03:03",3,0
419341226,76100561,"2018-05-01 00:03:03",3,7168
419341227,76100562,"2018-05-01 00:03:20",2,1132032
419341228,76100562,"2018-05-01 00:03:20",3,16896
419341229,76100562,"2018-05-01 00:03:20",3,18432
419341230,76100563,"2018-05-01 00:03:21",2,1095168
419341231,76100563,"2018-05-01 00:03:21",3,13824
419341232,76100563,"2018-05-01 00:03:21",3,15360
419341233,76100564,"2018-05-01 00:03:00",2,164352
419341234,76100564,"2018-05-01 00:03:00",2,927744
419341235,76100564,"2018-05-01 00:03:00",3,19968
419341236,76100564,"2018-05-01 00:03:00",3,20992
419341237,76100564,"2018-05-01 00:03:00",3,27648
419341238,76100567,"2018-05-01 00:02:07",2,197120
419341239,76100567,"2018-05-01 00:02:07",2,558592
419341240,76100567,"2018-05-01 00:02:07",2,887296
419341241,76100567,"2018-05-01 00:02:07",2,1692160
419341242,76100567,"2018-05-01 00:02:07",2,2281984
419341243,76100567,"2018-05-01 00:02:07",2,3103744
419341244,76100567,"2018-05-01 00:02:07",2,3958272
419341245,76100567,"2018-05-01 00:02:07",2,4615680
419341246,76100567,"2018-05-01 00:02:07",2,5574656
419341247,76100567,"2018-05-01 00:02:07",2,6396416
419341248,76100567,"2018-05-01 00:02:07",2,6993920
419341249,76100567,"2018-05-01 00:02:07",3,39424
419341250,76100567,"2018-05-01 00:02:07",3,82432
419341251,76100568,"2018-05-01 00:02:09",2,0
419341252,76100568,"2018-05-01 00:02:09",2,394240
419341253,76100568,"2018-05-01 00:02:09",2,722944
419341254,76100568,"2018-05-01 00:02:09",2,1527808
419341255,76100568,"2018-05-01 00:02:09",2,2117632
419341256,76100568,"2018-05-01 00:02:09",2,2939392
