"ID","cdr_ID","calldate","src","dst"
33995418,76100355,"2018-05-01 00:00:08",NULL,3227975248
33995420,76100357,"2018-05-01 00:00:03",NULL,3227975248
33995422,76100359,"2018-05-01 00:00:01",NULL,3227975249
33995423,76100360,"2018-05-01 00:00:03",NULL,3227975248
33995428,76100365,"2018-05-01 00:00:33",NULL,3227975505
33995430,76100367,"2018-05-01 00:00:30",NULL,3227975505
33995431,76100374,"2018-05-01 00:00:48",NULL,3227975504
33995433,76100378,"2018-05-01 00:00:25",NULL,1654599248
33995437,76100384,"2018-05-01 00:00:25",NULL,3227975249
33995438,76100385,"2018-05-01 00:00:33",NULL,3227975249
33995439,76100386,"2018-05-01 00:00:38",NULL,3227975505
33995440,76100387,"2018-05-01 00:00:41",NULL,3227975505
33995441,76100389,"2018-05-01 00:00:48",NULL,3227975504
33995442,76100390,"2018-05-01 00:00:46",NULL,3227975505
33995443,76100391,"2018-05-01 00:00:48",NULL,3227975504
33995444,76100392,"2018-05-01 00:00:42",NULL,3227975505
33995447,76100395,"2018-05-01 00:00:48",NULL,3227975504
33995448,76100396,"2018-05-01 00:00:56",NULL,3227975504
33995449,76100398,"2018-05-01 00:00:48",NULL,3227975504
33995450,76100399,"2018-05-01 00:00:48",NULL,3227975504
33995451,76100401,"2018-05-01 00:00:48",NULL,3227975504
33995452,76100403,"2018-05-01 00:00:59",NULL,3227975504
33995453,76100404,"2018-05-01 00:00:56",NULL,3227975504
33995454,76100406,"2018-05-01 00:00:48",NULL,3227975504
33995455,76100407,"2018-05-01 00:00:48",NULL,3227975504
33995456,76100408,"2018-05-01 00:00:50",NULL,3227975505
33995457,76100409,"2018-05-01 00:00:48",NULL,3227975504
33995458,76100410,"2018-05-01 00:00:27",NULL,3227975505
33995459,76100411,"2018-05-01 00:00:59",NULL,3227975504
33995465,76100417,"2018-05-01 00:00:47",NULL,3227975485
33995466,76100418,"2018-05-01 00:00:23",NULL,3227975505
33995468,76100420,"2018-05-01 00:00:40",NULL,3227975504
33995470,76100422,"2018-05-01 00:01:00",NULL,3227975504
33995473,76100435,"2018-05-01 00:00:30",NULL,3227975248
33995476,76100445,"2018-05-01 00:00:40",NULL,3227975504
33995477,76100447,"2018-05-01 00:01:00",NULL,3227975504
33995479,76100449,"2018-05-01 00:00:33",NULL,3227975504
33995480,76100450,"2018-05-01 00:00:36",NULL,3227975504
33995481,76100451,"2018-05-01 00:01:10",NULL,3227975484
33995484,76100457,"2018-05-01 00:00:32",NULL,3227975249
33995485,76100458,"2018-05-01 00:01:20",NULL,1654599240
33995488,76100461,"2018-05-01 00:01:17",NULL,3227975249
33995489,76100462,"2018-05-01 00:01:17",NULL,3227975248
33995491,76100464,"2018-05-01 00:01:36",NULL,3227975248
33995492,76100465,"2018-05-01 00:00:23",NULL,3227975505
33995493,76100469,"2018-05-01 00:00:42",NULL,3227975504
33995494,76100470,"2018-05-01 00:01:13",NULL,3227975504
33995495,76100471,"2018-05-01 00:01:52",NULL,3227975485
33995496,76100472,"2018-05-01 00:00:32",NULL,3227975249
33995497,76100474,"2018-05-01 00:00:52",NULL,3227975249
33995498,76100475,"2018-05-01 00:01:01",NULL,3227975248
33995499,76100478,"2018-05-01 00:01:02",NULL,3227975504
33995500,76100480,"2018-05-01 00:00:42",NULL,3227975504
33995501,76100482,"2018-05-01 00:01:13",NULL,3227975504
33995502,76100483,"2018-05-01 00:01:33",NULL,1654599248
33995503,76100484,"2018-05-01 00:01:26",NULL,1654599248
33995505,76100487,"2018-05-01 00:01:02",NULL,3227975504
33995508,76100490,"2018-05-01 00:01:53",NULL,3227975244
33995509,76100490,"2018-05-01 00:01:53",NULL,3227975249
33995511,76100492,"2018-05-01 00:01:41",NULL,3227975485
33995512,76100493,"2018-05-01 00:01:58",NULL,3227975504
33995514,76100495,"2018-05-01 00:02:02",NULL,3227975485
33995515,76100496,"2018-05-01 00:01:58",NULL,3227975504
33995517,76100504,"2018-05-01 00:00:27",NULL,3227975248
33995518,76100505,"2018-05-01 00:01:32",NULL,3227975505
33995519,76100506,"2018-05-01 00:01:35",NULL,3227975505
33995520,76100507,"2018-05-01 00:01:24",NULL,3227975505
33995521,76100511,"2018-05-01 00:01:58",NULL,3227975248
33995522,76100512,"2018-05-01 00:01:48",NULL,3227975249
33995523,76100513,"2018-05-01 00:01:49",NULL,3227975248
33995524,76100514,"2018-05-01 00:01:57",NULL,3227975249
33995525,76100515,"2018-05-01 00:01:04",NULL,3227975485
33995526,76100517,"2018-05-01 00:02:33",NULL,3227975504
33995527,76100519,"2018-05-01 00:02:33",NULL,3227975504
33995528,76100520,"2018-05-01 00:01:41",NULL,3227975485
33995529,76100521,"2018-05-01 00:02:23",NULL,3227975248
33995530,76100523,"2018-05-01 00:02:29",NULL,3227975249
33995531,76100524,"2018-05-01 00:02:29",NULL,3227975249
33995532,76100525,"2018-05-01 00:02:29",NULL,3227975249
33995533,76100526,"2018-05-01 00:02:29",NULL,3227975249
33995534,76100527,"2018-05-01 00:02:29",NULL,3227975249
33995535,76100528,"2018-05-01 00:02:29",NULL,3227975249
33995536,76100529,"2018-05-01 00:02:29",NULL,3227975249
33995537,76100530,"2018-05-01 00:02:29",NULL,3227975249
33995538,76100531,"2018-05-01 00:02:29",NULL,3227975249
33995539,76100532,"2018-05-01 00:02:29",NULL,3227975249
33995540,76100533,"2018-05-01 00:01:20",NULL,3227975248
33995541,76100534,"2018-05-01 00:02:37",NULL,3227975248
33995542,76100536,"2018-05-01 00:03:11",NULL,1654599240
33995543,76100537,"2018-05-01 00:02:28",NULL,3227975504
33995544,76100538,"2018-05-01 00:01:30",NULL,3227975504
33995545,76100540,"2018-05-01 00:01:30",NULL,3227975504
33995547,76100543,"2018-05-01 00:00:10",NULL,3227975249
33995548,76100547,"2018-05-01 00:00:19",NULL,3227975504
33995549,76100548,"2018-05-01 00:00:19",NULL,3227975504
33995551,76100550,"2018-05-01 00:03:05",NULL,3227975504
33995553,76100552,"2018-05-01 00:02:50",NULL,3227975485
33995555,76100554,"2018-05-01 00:03:05",NULL,3227975504
33995556,76100555,"2018-05-01 00:02:55",NULL,3227975248
33995560,76100559,"2018-05-01 00:03:11",NULL,3227975504
33995561,76100560,"2018-05-01 00:03:30",NULL,3227975504
33995562,76100562,"2018-05-01 00:03:20",NULL,3227975248
33995563,76100564,"2018-05-01 00:03:00",NULL,3227975248
33995564,76100565,"2018-05-01 00:03:11",NULL,3227975504
33995565,76100566,"2018-05-01 00:03:30",NULL,3227975504
33995566,76100567,"2018-05-01 00:02:07",NULL,3227975248
33995569,76100571,"2018-05-01 00:03:35",NULL,3227975249
33995570,76100572,"2018-05-01 00:02:18",NULL,3227975504
33995571,76100573,"2018-05-01 00:02:18",NULL,3227975504
33995572,76100574,"2018-05-01 00:03:46",NULL,3227975249
33995573,76100575,"2018-05-01 00:03:47",NULL,3227975248
33995574,76100576,"2018-05-01 00:03:25",NULL,3227975249
33995575,76100577,"2018-05-01 00:02:45",NULL,3227975249
33995576,76100578,"2018-05-01 00:01:57",NULL,3227975249
33995577,76100581,"2018-05-01 00:03:23",NULL,3227975485
33995578,76100582,"2018-05-01 00:04:22",NULL,3227975485
33995579,76100583,"2018-05-01 00:02:49",NULL,3227975249
33995580,76100586,"2018-05-01 00:03:50",NULL,3227975504
33995581,76100587,"2018-05-01 00:03:51",NULL,3227975504
33995582,76100593,"2018-05-01 00:03:50",NULL,3227975504
33995583,76100594,"2018-05-01 00:03:51",NULL,3227975504
33995584,76100595,"2018-05-01 00:04:10",NULL,3227975504
33995585,76100596,"2018-05-01 00:04:13",NULL,3227975504
33995586,76100597,"2018-05-01 00:05:01",NULL,1654599240
33995587,76100597,"2018-05-01 00:05:01",NULL,1654599248
33995588,76100598,"2018-05-01 00:04:28",NULL,3227975504
33995589,76100599,"2018-05-01 00:04:28",NULL,3227975504
33995590,76100600,"2018-05-01 00:04:28",NULL,3227975504
33995595,76100607,"2018-05-01 00:05:11",NULL,3227975249
33995596,76100608,"2018-05-01 00:05:17",NULL,3227975248
33995597,76100609,"2018-05-01 00:04:54",NULL,3227975249
33995598,76100610,"2018-05-01 00:04:56",NULL,3227975248
33995599,76100611,"2018-05-01 00:05:22",NULL,3227975248
33995600,76100612,"2018-05-01 00:04:11",NULL,3227975249
33995601,76100613,"2018-05-01 00:05:19",NULL,3227975249
33995602,76100614,"2018-05-01 00:05:12",NULL,3227975248
33995603,76100615,"2018-05-01 00:05:21",NULL,3227975244
33995604,76100616,"2018-05-01 00:04:12",NULL,3227975249
33995605,76100617,"2018-05-01 00:05:12",NULL,3227975248
33995606,76100618,"2018-05-01 00:04:20",NULL,3227975249
33995607,76100619,"2018-05-01 00:04:23",NULL,3227975244
33995608,76100624,"2018-05-01 00:04:37",NULL,3227975485
33995609,76100625,"2018-05-01 00:04:19",NULL,3227975504
33995610,76100626,"2018-05-01 00:05:26",NULL,3227975504
33995611,76100627,"2018-05-01 00:05:00",NULL,3227975504
33995612,76100629,"2018-05-01 00:05:58",NULL,3227975504
33995613,76100630,"2018-05-01 00:05:47",NULL,3227975505
33995614,76100631,"2018-05-01 00:05:59",NULL,3227975504
33995615,76100633,"2018-05-01 00:06:00",NULL,3227975504
33995616,76100634,"2018-05-01 00:05:27",NULL,3227975505
33995617,76100635,"2018-05-01 00:05:58",NULL,3227975504
33995618,76100636,"2018-05-01 00:05:47",NULL,3227975505
33995619,76100637,"2018-05-01 00:05:59",NULL,3227975504
33995620,76100638,"2018-05-01 00:06:05",NULL,3227975485
33995621,76100639,"2018-05-01 00:06:00",NULL,3227975504
33995622,76100642,"2018-05-01 00:05:53",NULL,3227975248
33995623,76100643,"2018-05-01 00:05:50",NULL,3227975248
33995624,76100645,"2018-05-01 00:05:30",NULL,3227975249
33995625,76100646,"2018-05-01 00:05:31",NULL,3227975244
33995626,76100647,"2018-05-01 00:06:01",NULL,1654599240
33995627,76100647,"2018-05-01 00:06:01",NULL,1654599248
33995628,76100648,"2018-05-01 00:05:47",NULL,1654599249
33995629,76100651,"2018-05-01 00:04:37",NULL,3227975504
33995630,76100652,"2018-05-01 00:04:37",NULL,3227975504
33995631,76100654,"2018-05-01 00:04:25",NULL,3227975248
33995632,76100655,"2018-05-01 00:05:54",NULL,3227975248
33995633,76100656,"2018-05-01 00:05:47",NULL,3227975249
33995637,76100661,"2018-05-01 00:04:54",NULL,3227975248
33995638,76100662,"2018-05-01 00:05:04",NULL,3227975504
33995639,76100663,"2018-05-01 00:05:04",NULL,3227975504
33995640,76100665,"2018-05-01 00:06:32",NULL,3227975505
33995641,76100667,"2018-05-01 00:06:52",NULL,1654599240
33995642,76100669,"2018-05-01 00:06:10",NULL,3227975249
33995643,76100670,"2018-05-01 00:06:28",NULL,3227975248
33995644,76100671,"2018-05-01 00:06:11",NULL,3227975248
33995645,76100672,"2018-05-01 00:06:02",NULL,1654599249
33995646,76100673,"2018-05-01 00:06:25",NULL,3227975248
33995647,76100676,"2018-05-01 00:06:44",NULL,3227975249
33995648,76100677,"2018-05-01 00:06:45",NULL,3227975248
33995649,76100678,"2018-05-01 00:06:51",NULL,3227975249
33995650,76100679,"2018-05-01 00:06:06",NULL,3227975504
33995651,76100680,"2018-05-01 00:05:08",NULL,3227975485
33995652,76100681,"2018-05-01 00:06:08",NULL,3227975504
33995653,76100682,"2018-05-01 00:05:36",NULL,3227975505
33995654,76100684,"2018-05-01 00:05:35",NULL,3227975485
33995656,76100686,"2018-05-01 00:07:03",NULL,3227975504
33995658,76100688,"2018-05-01 00:06:06",NULL,3227975504
33995659,76100690,"2018-05-01 00:06:08",NULL,3227975504
33995660,76100699,"2018-05-01 00:07:14",NULL,3227975485
33995661,76100700,"2018-05-01 00:07:21",NULL,3227975485
33995665,76100704,"2018-05-01 00:04:59",NULL,3227975248
33995666,76100705,"2018-05-01 00:05:09",NULL,3227975504
33995667,76100706,"2018-05-01 00:05:09",NULL,3227975504
33995668,76100707,"2018-05-01 00:05:44",NULL,3227975249
33995669,76100708,"2018-05-01 00:05:46",NULL,3227975244
33995670,76100709,"2018-05-01 00:01:57",NULL,3227975504
33995671,76100710,"2018-05-01 00:01:58",NULL,3227975504
33995672,76100713,"2018-05-01 00:07:42",NULL,3227975249
33995673,76100714,"2018-05-01 00:07:42",NULL,3227975248
33995674,76100715,"2018-05-01 00:07:34",NULL,3227975485
33995675,76100717,"2018-05-01 00:07:43",NULL,3227975249
33995676,76100718,"2018-05-01 00:08:01",NULL,3227975485
33995677,76100720,"2018-05-01 00:07:51",NULL,3227975248
33995680,76100723,"2018-05-01 00:08:17",NULL,3227975505
33995681,76100724,"2018-05-01 00:08:42",NULL,1654599240
33995682,76100724,"2018-05-01 00:08:42",NULL,1654599248
33995684,76100727,"2018-05-01 00:08:07",NULL,3227975249
33995685,76100729,"2018-05-01 00:08:17",NULL,3227975505
33995686,76100730,"2018-05-01 00:08:46",NULL,3227975485
33995687,76100731,"2018-05-01 00:07:39",NULL,3227975496
33995688,76100731,"2018-05-01 00:07:39",NULL,3227975505
33995689,76100736,"2018-05-01 00:08:41",NULL,3227975249
33995690,76100737,"2018-05-01 00:08:34",NULL,3227975485
33995691,76100738,"2018-05-01 00:07:23",NULL,3227975504
33995692,76100739,"2018-05-01 00:09:17",NULL,3227975485
33995693,76100742,"2018-05-01 00:07:23",NULL,3227975504
33995694,76100743,"2018-05-01 00:07:09",NULL,3227975249
33995695,76100745,"2018-05-01 00:09:07",NULL,3227975249
33995696,76100746,"2018-05-01 00:09:14",NULL,3227975248
33995697,76100747,"2018-05-01 00:09:08",NULL,3227975248
33995698,76100748,"2018-05-01 00:09:08",NULL,3227975248
33995699,76100749,"2018-05-01 00:09:19",NULL,3227975248
33995700,76100754,"2018-05-01 00:06:14",NULL,3227975485
33995701,76100755,"2018-05-01 00:09:16",NULL,3227975504
33995702,76100756,"2018-05-01 00:09:15",NULL,3227975504
33995703,76100757,"2018-05-01 00:08:14",NULL,3227975485
33995704,76100759,"2018-05-01 00:09:41",NULL,3227975504
33995705,76100760,"2018-05-01 00:09:41",NULL,3227975504
33995706,76100761,"2018-05-01 00:09:43",NULL,3227975504
33995707,76100762,"2018-05-01 00:09:44",NULL,3227975504
33995708,76100763,"2018-05-01 00:09:43",NULL,3227975504
33995709,76100767,"2018-05-01 00:09:43",NULL,3227975504
33995710,76100768,"2018-05-01 00:08:46",NULL,3227975249
33995711,76100769,"2018-05-01 00:09:58",NULL,3227975248
33995712,76100770,"2018-05-01 00:09:36",NULL,3227975249
33995713,76100771,"2018-05-01 00:07:21",NULL,3227975249
33995714,76100772,"2018-05-01 00:09:38",NULL,3227975244
33995715,76100773,"2018-05-01 00:07:32",NULL,3227975504
33995716,76100774,"2018-05-01 00:09:57",NULL,3227975249
33995717,76100776,"2018-05-01 00:09:40",NULL,3227975249
33995718,76100777,"2018-05-01 00:08:18",NULL,3227975248
33995719,76100779,"2018-05-01 00:09:41",NULL,3227975248
33995720,76100780,"2018-05-01 00:07:32",NULL,3227975504
33995721,76100781,"2018-05-01 00:08:29",NULL,3227975504
33995722,76100782,"2018-05-01 00:10:28",NULL,1654599240
33995723,76100782,"2018-05-01 00:10:28",NULL,1654599248
33995724,76100783,"2018-05-01 00:08:29",NULL,3227975504
33995725,76100786,"2018-05-01 00:10:14",NULL,3227975248
33995726,76100789,"2018-05-01 00:10:12",NULL,3227975504
33995727,76100790,"2018-05-01 00:10:16",NULL,3227975504
33995728,76100791,"2018-05-01 00:10:17",NULL,3227975504
33995729,76100792,"2018-05-01 00:10:11",NULL,3227975504
33995730,76100793,"2018-05-01 00:10:12",NULL,3227975504
33995731,76100794,"2018-05-01 00:10:16",NULL,3227975504
33995732,76100795,"2018-05-01 00:10:17",NULL,3227975504
33995733,76100796,"2018-05-01 00:10:11",NULL,3227975504
33995734,76100799,"2018-05-01 00:02:28",NULL,3227975249
33995735,76100800,"2018-05-01 00:04:49",NULL,3227975249
33995736,76100801,"2018-05-01 00:10:22",NULL,3227975248
33995737,76100802,"2018-05-01 00:10:21",NULL,3227975249
33995738,76100803,"2018-05-01 00:09:06",NULL,3227975485
33995739,76100804,"2018-05-01 00:09:43",NULL,3227975485
33995740,76100805,"2018-05-01 00:10:31",NULL,3227975248
33995741,76100806,"2018-05-01 00:10:31",NULL,3227975248
33995742,76100807,"2018-05-01 00:10:42",NULL,3227975248
33995743,76100808,"2018-05-01 00:10:42",NULL,3227975248
33995744,76100809,"2018-05-01 00:10:30",NULL,3227975249
33995745,76100810,"2018-05-01 00:10:37",NULL,3227975248
33995746,76100811,"2018-05-01 00:10:51",NULL,3227975504
33995747,76100812,"2018-05-01 00:10:52",NULL,3227975504
33995748,76100815,"2018-05-01 00:10:29",NULL,3227975505
33995749,76100816,"2018-05-01 00:11:00",NULL,3227975505
33995750,76100819,"2018-05-01 00:10:58",NULL,3227975504
33995751,76100820,"2018-05-01 00:10:59",NULL,3227975504
33995752,76100823,"2018-05-01 00:11:39",NULL,3227975248
33995753,76100824,"2018-05-01 00:11:31",NULL,3227975249
33995754,76100825,"2018-05-01 00:11:32",NULL,3227975244
33995755,76100828,"2018-05-01 00:10:39",NULL,3227975249
33995756,76100829,"2018-05-01 00:11:51",NULL,3227975248
33995757,76100830,"2018-05-01 00:11:23",NULL,3227975504
33995758,76100831,"2018-05-01 00:11:24",NULL,3227975504
