,a_saddr_asn,a_saddr_asorg,a_saddr_lat,a_saddr_long,b_saddr_asn,b_saddr_asorg,b_saddr_lat,b_saddr_long
22786,The address 192.102.255.82 is not in the database.,The address 192.102.255.82 is not in the database.,0.0,0.0,The address 173.34.2.227 is not in the database.,The address 173.34.2.227 is not in the database.,0.0,0.0
22885,The address 192.102.254.82 is not in the database.,The address 192.102.254.82 is not in the database.,0.0,0.0,The address 23.16.160.195 is not in the database.,The address 23.16.160.195 is not in the database.,0.0,0.0
22888,The address 192.102.254.83 is not in the database.,The address 192.102.254.83 is not in the database.,0.0,0.0,The address 64.56.146.119 is not in the database.,The address 64.56.146.119 is not in the database.,0.0,0.0
23008,The address 192.102.255.83 is not in the database.,The address 192.102.255.83 is not in the database.,0.0,0.0,The address 209.15.222.247 is not in the database.,The address 209.15.222.247 is not in the database.,0.0,0.0
23163,The address 192.102.255.82 is not in the database.,The address 192.102.255.82 is not in the database.,0.0,0.0,The address 173.231.124.173 is not in the database.,The address 173.231.124.173 is not in the database.,0.0,0.0
23180,The address 216.46.27.42 is not in the database.,The address 216.46.27.42 is not in the database.,0.0,0.0,The address 192.102.255.83 is not in the database.,The address 192.102.255.83 is not in the database.,0.0,0.0
23184,The address 98.159.46.82 is not in the database.,The address 98.159.46.82 is not in the database.,0.0,0.0,The address 74.205.211.122 is not in the database.,The address 74.205.211.122 is not in the database.,0.0,0.0
23188,The address 184.67.113.82 is not in the database.,The address 184.67.113.82 is not in the database.,0.0,0.0,The address 192.102.254.83 is not in the database.,The address 192.102.254.83 is not in the database.,0.0,0.0
23232,The address 192.102.255.83 is not in the database.,The address 192.102.255.83 is not in the database.,0.0,0.0,The address 72.139.200.45 is not in the database.,The address 72.139.200.45 is not in the database.,0.0,0.0
23238,The address 199.173.97.58 is not in the database.,The address 199.173.97.58 is not in the database.,0.0,0.0,The address 192.102.255.83 is not in the database.,The address 192.102.255.83 is not in the database.,0.0,0.0
23259,The address 192.102.255.83 is not in the database.,The address 192.102.255.83 is not in the database.,0.0,0.0,The address 98.143.242.20 is not in the database.,The address 98.143.242.20 is not in the database.,0.0,0.0
23349,The address 98.143.81.246 is not in the database.,The address 98.143.81.246 is not in the database.,0.0,0.0,The address 192.102.254.82 is not in the database.,The address 192.102.254.82 is not in the database.,0.0,0.0
