,a_saddr_asn,a_saddr_asorg,a_saddr_lat,a_saddr_long,b_saddr_asn,b_saddr_asorg,b_saddr_lat,b_saddr_long
0,The address 208.89.130.150 is not in the database.,The address 208.89.130.150 is not in the database.,0.0,0.0,The address 192.102.254.82 is not in the database.,The address 192.102.254.82 is not in the database.,0.0,0.0
1,The address 192.102.254.82 is not in the database.,The address 192.102.254.82 is not in the database.,0.0,0.0,The address 70.36.53.42 is not in the database.,The address 70.36.53.42 is not in the database.,0.0,0.0
2,The address 96.55.36.91 is not in the database.,The address 96.55.36.91 is not in the database.,0.0,0.0,The address 192.102.254.82 is not in the database.,The address 192.102.254.82 is not in the database.,0.0,0.0
3,The address 192.102.254.82 is not in the database.,The address 192.102.254.82 is not in the database.,0.0,0.0,The address 208.89.130.150 is not in the database.,The address 208.89.130.150 is not in the database.,0.0,0.0
4,The address 68.68.117.64 is not in the database.,The address 68.68.117.64 is not in the database.,0.0,0.0,The address 192.102.255.83 is not in the database.,The address 192.102.255.83 is not in the database.,0.0,0.0
8,The address 204.101.100.67 is not in the database.,The address 204.101.100.67 is not in the database.,0.0,0.0,The address 192.102.254.82 is not in the database.,The address 192.102.254.82 is not in the database.,0.0,0.0
9,The address 192.102.254.83 is not in the database.,The address 192.102.254.83 is not in the database.,0.0,0.0,The address 75.157.187.164 is not in the database.,The address 75.157.187.164 is not in the database.,0.0,0.0
10,The address 75.155.189.78 is not in the database.,The address 75.155.189.78 is not in the database.,0.0,0.0,The address 192.102.254.82 is not in the database.,The address 192.102.254.82 is not in the database.,0.0,0.0
11,The address 192.102.254.82 is not in the database.,The address 192.102.254.82 is not in the database.,0.0,0.0,The address 208.89.130.20 is not in the database.,The address 208.89.130.20 is not in the database.,0.0,0.0
12,The address 208.89.130.20 is not in the database.,The address 208.89.130.20 is not in the database.,0.0,0.0,The address 192.102.254.82 is not in the database.,The address 192.102.254.82 is not in the database.,0.0,0.0
14,The address 192.102.254.82 is not in the database.,The address 192.102.254.82 is not in the database.,0.0,0.0,The address 198.134.28.91 is not in the database.,The address 198.134.28.91 is not in the database.,0.0,0.0
17,The address 192.102.255.63 is not in the database.,The address 192.102.255.63 is not in the database.,0.0,0.0,The address 68.68.119.108 is not in the database.,The address 68.68.119.108 is not in the database.,0.0,0.0
19,The address 198.134.28.91 is not in the database.,The address 198.134.28.91 is not in the database.,0.0,0.0,The address 192.102.254.82 is not in the database.,The address 192.102.254.82 is not in the database.,0.0,0.0
20,The address 199.182.221.34 is not in the database.,The address 199.182.221.34 is not in the database.,0.0,0.0,The address 192.102.254.82 is not in the database.,The address 192.102.254.82 is not in the database.,0.0,0.0
22,The address 52.43.50.205 is not in the database.,The address 52.43.50.205 is not in the database.,0.0,0.0,The address 192.102.254.82 is not in the database.,The address 192.102.254.82 is not in the database.,0.0,0.0
24,The address 68.68.119.108 is not in the database.,The address 68.68.119.108 is not in the database.,0.0,0.0,The address 192.102.255.62 is not in the database.,The address 192.102.255.62 is not in the database.,0.0,0.0
26,The address 12.215.54.67 is not in the database.,The address 12.215.54.67 is not in the database.,0.0,0.0,The address 192.102.255.63 is not in the database.,The address 192.102.255.63 is not in the database.,0.0,0.0
29,The address 192.102.254.82 is not in the database.,The address 192.102.254.82 is not in the database.,0.0,0.0,The address 184.68.20.6 is not in the database.,The address 184.68.20.6 is not in the database.,0.0,0.0
30,The address 75.155.189.78 is not in the database.,The address 75.155.189.78 is not in the database.,0.0,0.0,The address 192.102.254.83 is not in the database.,The address 192.102.254.83 is not in the database.,0.0,0.0
31,The address 192.102.254.83 is not in the database.,The address 192.102.254.83 is not in the database.,0.0,0.0,The address 208.89.130.20 is not in the database.,The address 208.89.130.20 is not in the database.,0.0,0.0
34,The address 68.68.119.101 is not in the database.,The address 68.68.119.101 is not in the database.,0.0,0.0,The address 192.102.255.82 is not in the database.,The address 192.102.255.82 is not in the database.,0.0,0.0
36,The address 192.102.255.82 is not in the database.,The address 192.102.255.82 is not in the database.,0.0,0.0,The address 68.68.119.101 is not in the database.,The address 68.68.119.101 is not in the database.,0.0,0.0
38,The address 192.102.254.83 is not in the database.,The address 192.102.254.83 is not in the database.,0.0,0.0,The address 216.251.136.82 is not in the database.,The address 216.251.136.82 is not in the database.,0.0,0.0
39,The address 192.102.255.62 is not in the database.,The address 192.102.255.62 is not in the database.,0.0,0.0,The address 68.68.119.108 is not in the database.,The address 68.68.119.108 is not in the database.,0.0,0.0
43,The address 208.89.130.22 is not in the database.,The address 208.89.130.22 is not in the database.,0.0,0.0,The address 192.102.254.83 is not in the database.,The address 192.102.254.83 is not in the database.,0.0,0.0
44,The address 192.102.254.83 is not in the database.,The address 192.102.254.83 is not in the database.,0.0,0.0,The address 162.213.157.228 is not in the database.,The address 162.213.157.228 is not in the database.,0.0,0.0
47,The address 208.68.17.37 is not in the database.,The address 208.68.17.37 is not in the database.,0.0,0.0,The address 192.102.254.82 is not in the database.,The address 192.102.254.82 is not in the database.,0.0,0.0
48,The address 208.89.128.69 is not in the database.,The address 208.89.128.69 is not in the database.,0.0,0.0,The address 192.102.255.82 is not in the database.,The address 192.102.255.82 is not in the database.,0.0,0.0
50,The address 208.89.130.150 is not in the database.,The address 208.89.130.150 is not in the database.,0.0,0.0,The address 192.102.254.83 is not in the database.,The address 192.102.254.83 is not in the database.,0.0,0.0
51,The address 192.102.255.82 is not in the database.,The address 192.102.255.82 is not in the database.,0.0,0.0,The address 76.66.120.100 is not in the database.,The address 76.66.120.100 is not in the database.,0.0,0.0
55,The address 216.251.136.82 is not in the database.,The address 216.251.136.82 is not in the database.,0.0,0.0,The address 192.102.254.83 is not in the database.,The address 192.102.254.83 is not in the database.,0.0,0.0
56,The address 192.102.254.83 is not in the database.,The address 192.102.254.83 is not in the database.,0.0,0.0,The address 208.89.130.150 is not in the database.,The address 208.89.130.150 is not in the database.,0.0,0.0
57,The address 198.134.28.91 is not in the database.,The address 198.134.28.91 is not in the database.,0.0,0.0,The address 192.102.255.82 is not in the database.,The address 192.102.255.82 is not in the database.,0.0,0.0
60,The address 192.102.254.82 is not in the database.,The address 192.102.254.82 is not in the database.,0.0,0.0,The address 108.172.71.208 is not in the database.,The address 108.172.71.208 is not in the database.,0.0,0.0
61,The address 208.89.130.22 is not in the database.,The address 208.89.130.22 is not in the database.,0.0,0.0,The address 192.102.254.82 is not in the database.,The address 192.102.254.82 is not in the database.,0.0,0.0
65,The address 98.143.94.218 is not in the database.,The address 98.143.94.218 is not in the database.,0.0,0.0,The address 192.102.254.83 is not in the database.,The address 192.102.254.83 is not in the database.,0.0,0.0
69,The address 75.155.191.162 is not in the database.,The address 75.155.191.162 is not in the database.,0.0,0.0,The address 192.102.254.82 is not in the database.,The address 192.102.254.82 is not in the database.,0.0,0.0
70,The address 50.68.212.146 is not in the database.,The address 50.68.212.146 is not in the database.,0.0,0.0,The address 192.102.254.82 is not in the database.,The address 192.102.254.82 is not in the database.,0.0,0.0
71,The address 98.143.82.203 is not in the database.,The address 98.143.82.203 is not in the database.,0.0,0.0,The address 192.102.254.83 is not in the database.,The address 192.102.254.83 is not in the database.,0.0,0.0
72,The address 198.134.28.91 is not in the database.,The address 198.134.28.91 is not in the database.,0.0,0.0,The address 192.102.254.83 is not in the database.,The address 192.102.254.83 is not in the database.,0.0,0.0
73,The address 192.102.254.83 is not in the database.,The address 192.102.254.83 is not in the database.,0.0,0.0,The address 199.47.126.6 is not in the database.,The address 199.47.126.6 is not in the database.,0.0,0.0
74,The address 192.102.254.83 is not in the database.,The address 192.102.254.83 is not in the database.,0.0,0.0,The address 204.101.100.67 is not in the database.,The address 204.101.100.67 is not in the database.,0.0,0.0
75,The address 208.89.130.20 is not in the database.,The address 208.89.130.20 is not in the database.,0.0,0.0,The address 192.102.254.83 is not in the database.,The address 192.102.254.83 is not in the database.,0.0,0.0
76,The address 216.123.176.108 is not in the database.,The address 216.123.176.108 is not in the database.,0.0,0.0,The address 192.102.255.82 is not in the database.,The address 192.102.255.82 is not in the database.,0.0,0.0
78,The address 108.172.71.208 is not in the database.,The address 108.172.71.208 is not in the database.,0.0,0.0,The address 192.102.254.82 is not in the database.,The address 192.102.254.82 is not in the database.,0.0,0.0
80,The address 192.102.255.82 is not in the database.,The address 192.102.255.82 is not in the database.,0.0,0.0,The address 108.63.14.134 is not in the database.,The address 108.63.14.134 is not in the database.,0.0,0.0
84,The address 75.155.191.162 is not in the database.,The address 75.155.191.162 is not in the database.,0.0,0.0,The address 192.102.254.83 is not in the database.,The address 192.102.254.83 is not in the database.,0.0,0.0
87,The address 192.102.254.83 is not in the database.,The address 192.102.254.83 is not in the database.,0.0,0.0,The address 208.68.17.37 is not in the database.,The address 208.68.17.37 is not in the database.,0.0,0.0
88,The address 64.253.150.187 is not in the database.,The address 64.253.150.187 is not in the database.,0.0,0.0,The address 192.102.254.83 is not in the database.,The address 192.102.254.83 is not in the database.,0.0,0.0
90,The address 68.68.119.108 is not in the database.,The address 68.68.119.108 is not in the database.,0.0,0.0,The address 192.102.255.63 is not in the database.,The address 192.102.255.63 is not in the database.,0.0,0.0
94,The address 64.253.148.230 is not in the database.,The address 64.253.148.230 is not in the database.,0.0,0.0,The address 192.102.254.82 is not in the database.,The address 192.102.254.82 is not in the database.,0.0,0.0
96,The address 98.143.94.218 is not in the database.,The address 98.143.94.218 is not in the database.,0.0,0.0,The address 192.102.254.82 is not in the database.,The address 192.102.254.82 is not in the database.,0.0,0.0
97,The address 192.102.255.82 is not in the database.,The address 192.102.255.82 is not in the database.,0.0,0.0,The address 199.47.126.6 is not in the database.,The address 199.47.126.6 is not in the database.,0.0,0.0
103,The address 192.102.254.83 is not in the database.,The address 192.102.254.83 is not in the database.,0.0,0.0,The address 70.36.53.42 is not in the database.,The address 70.36.53.42 is not in the database.,0.0,0.0
106,The address 68.68.119.101 is not in the database.,The address 68.68.119.101 is not in the database.,0.0,0.0,The address 192.102.255.83 is not in the database.,The address 192.102.255.83 is not in the database.,0.0,0.0
109,The address 192.102.254.82 is not in the database.,The address 192.102.254.82 is not in the database.,0.0,0.0,The address 208.68.17.37 is not in the database.,The address 208.68.17.37 is not in the database.,0.0,0.0
110,The address 67.231.5.80 is not in the database.,The address 67.231.5.80 is not in the database.,0.0,0.0,The address 98.159.46.83 is not in the database.,The address 98.159.46.83 is not in the database.,0.0,0.0
111,The address 98.159.46.83 is not in the database.,The address 98.159.46.83 is not in the database.,0.0,0.0,The address 108.95.26.106 is not in the database.,The address 108.95.26.106 is not in the database.,0.0,0.0
113,The address 192.102.254.82 is not in the database.,The address 192.102.254.82 is not in the database.,0.0,0.0,The address 204.101.100.67 is not in the database.,The address 204.101.100.67 is not in the database.,0.0,0.0
116,The address 204.101.100.67 is not in the database.,The address 204.101.100.67 is not in the database.,0.0,0.0,The address 192.102.254.83 is not in the database.,The address 192.102.254.83 is not in the database.,0.0,0.0
117,The address 192.102.254.83 is not in the database.,The address 192.102.254.83 is not in the database.,0.0,0.0,The address 216.123.248.93 is not in the database.,The address 216.123.248.93 is not in the database.,0.0,0.0
120,The address 69.158.105.45 is not in the database.,The address 69.158.105.45 is not in the database.,0.0,0.0,The address 192.102.254.83 is not in the database.,The address 192.102.254.83 is not in the database.,0.0,0.0
122,The address 192.102.254.82 is not in the database.,The address 192.102.254.82 is not in the database.,0.0,0.0,The address 162.213.157.228 is not in the database.,The address 162.213.157.228 is not in the database.,0.0,0.0
124,The address 69.158.105.45 is not in the database.,The address 69.158.105.45 is not in the database.,0.0,0.0,The address 192.102.254.82 is not in the database.,The address 192.102.254.82 is not in the database.,0.0,0.0
125,The address 192.102.254.82 is not in the database.,The address 192.102.254.82 is not in the database.,0.0,0.0,The address 208.89.130.22 is not in the database.,The address 208.89.130.22 is not in the database.,0.0,0.0
129,The address 192.102.254.83 is not in the database.,The address 192.102.254.83 is not in the database.,0.0,0.0,The address 208.89.128.69 is not in the database.,The address 208.89.128.69 is not in the database.,0.0,0.0
132,The address 174.7.166.50 is not in the database.,The address 174.7.166.50 is not in the database.,0.0,0.0,The address 192.102.254.82 is not in the database.,The address 192.102.254.82 is not in the database.,0.0,0.0
138,The address 192.102.255.82 is not in the database.,The address 192.102.255.82 is not in the database.,0.0,0.0,The address 209.15.222.231 is not in the database.,The address 209.15.222.231 is not in the database.,0.0,0.0
141,The address 192.102.254.83 is not in the database.,The address 192.102.254.83 is not in the database.,0.0,0.0,The address 184.68.20.6 is not in the database.,The address 184.68.20.6 is not in the database.,0.0,0.0
146,The address 192.102.254.83 is not in the database.,The address 192.102.254.83 is not in the database.,0.0,0.0,The address 207.34.62.46 is not in the database.,The address 207.34.62.46 is not in the database.,0.0,0.0
149,The address 99.199.100.126 is not in the database.,The address 99.199.100.126 is not in the database.,0.0,0.0,The address 192.102.254.83 is not in the database.,The address 192.102.254.83 is not in the database.,0.0,0.0
164,The address 192.102.254.82 is not in the database.,The address 192.102.254.82 is not in the database.,0.0,0.0,The address 208.68.17.36 is not in the database.,The address 208.68.17.36 is not in the database.,0.0,0.0
166,The address 192.102.254.82 is not in the database.,The address 192.102.254.82 is not in the database.,0.0,0.0,The address 69.158.105.45 is not in the database.,The address 69.158.105.45 is not in the database.,0.0,0.0
173,The address 207.216.41.227 is not in the database.,The address 207.216.41.227 is not in the database.,0.0,0.0,The address 192.102.254.82 is not in the database.,The address 192.102.254.82 is not in the database.,0.0,0.0
179,The address 205.205.107.8 is not in the database.,The address 205.205.107.8 is not in the database.,0.0,0.0,The address 192.102.254.82 is not in the database.,The address 192.102.254.82 is not in the database.,0.0,0.0
181,The address 192.102.254.82 is not in the database.,The address 192.102.254.82 is not in the database.,0.0,0.0,The address 199.47.126.6 is not in the database.,The address 199.47.126.6 is not in the database.,0.0,0.0
184,The address 70.35.217.90 is not in the database.,The address 70.35.217.90 is not in the database.,0.0,0.0,The address 192.102.255.83 is not in the database.,The address 192.102.255.83 is not in the database.,0.0,0.0
186,The address 192.102.255.83 is not in the database.,The address 192.102.255.83 is not in the database.,0.0,0.0,The address 208.89.128.69 is not in the database.,The address 208.89.128.69 is not in the database.,0.0,0.0
188,The address 108.63.14.134 is not in the database.,The address 108.63.14.134 is not in the database.,0.0,0.0,The address 192.102.255.83 is not in the database.,The address 192.102.255.83 is not in the database.,0.0,0.0
190,The address 192.102.255.83 is not in the database.,The address 192.102.255.83 is not in the database.,0.0,0.0,The address 72.139.195.17 is not in the database.,The address 72.139.195.17 is not in the database.,0.0,0.0
192,The address 198.134.28.91 is not in the database.,The address 198.134.28.91 is not in the database.,0.0,0.0,The address 192.102.255.83 is not in the database.,The address 192.102.255.83 is not in the database.,0.0,0.0
194,The address 192.102.255.83 is not in the database.,The address 192.102.255.83 is not in the database.,0.0,0.0,The address 198.134.28.91 is not in the database.,The address 198.134.28.91 is not in the database.,0.0,0.0
198,The address 96.53.67.195 is not in the database.,The address 96.53.67.195 is not in the database.,0.0,0.0,The address 192.102.254.82 is not in the database.,The address 192.102.254.82 is not in the database.,0.0,0.0
206,The address 192.102.254.83 is not in the database.,The address 192.102.254.83 is not in the database.,0.0,0.0,The address 208.68.17.36 is not in the database.,The address 208.68.17.36 is not in the database.,0.0,0.0
212,The address 192.102.254.83 is not in the database.,The address 192.102.254.83 is not in the database.,0.0,0.0,The address 206.116.15.170 is not in the database.,The address 206.116.15.170 is not in the database.,0.0,0.0
214,The address 199.167.109.148 is not in the database.,The address 199.167.109.148 is not in the database.,0.0,0.0,The address 192.102.255.83 is not in the database.,The address 192.102.255.83 is not in the database.,0.0,0.0
216,The address 192.102.255.83 is not in the database.,The address 192.102.255.83 is not in the database.,0.0,0.0,The address 204.244.196.60 is not in the database.,The address 204.244.196.60 is not in the database.,0.0,0.0
222,The address 74.205.211.122 is not in the database.,The address 74.205.211.122 is not in the database.,0.0,0.0,The address 192.102.254.83 is not in the database.,The address 192.102.254.83 is not in the database.,0.0,0.0
223,The address 192.102.254.82 is not in the database.,The address 192.102.254.82 is not in the database.,0.0,0.0,The address 204.101.100.12 is not in the database.,The address 204.101.100.12 is not in the database.,0.0,0.0
232,The address 64.16.236.18 is not in the database.,The address 64.16.236.18 is not in the database.,0.0,0.0,The address 192.102.255.82 is not in the database.,The address 192.102.255.82 is not in the database.,0.0,0.0
234,The address 96.55.36.91 is not in the database.,The address 96.55.36.91 is not in the database.,0.0,0.0,The address 192.102.254.83 is not in the database.,The address 192.102.254.83 is not in the database.,0.0,0.0
235,The address 64.253.154.147 is not in the database.,The address 64.253.154.147 is not in the database.,0.0,0.0,The address 192.102.254.82 is not in the database.,The address 192.102.254.82 is not in the database.,0.0,0.0
236,The address 192.102.254.82 is not in the database.,The address 192.102.254.82 is not in the database.,0.0,0.0,The address 64.253.154.147 is not in the database.,The address 64.253.154.147 is not in the database.,0.0,0.0
237,The address 192.102.254.83 is not in the database.,The address 192.102.254.83 is not in the database.,0.0,0.0,The address 208.89.130.22 is not in the database.,The address 208.89.130.22 is not in the database.,0.0,0.0
238,The address 70.36.53.42 is not in the database.,The address 70.36.53.42 is not in the database.,0.0,0.0,The address 192.102.254.83 is not in the database.,The address 192.102.254.83 is not in the database.,0.0,0.0
249,The address 70.35.217.90 is not in the database.,The address 70.35.217.90 is not in the database.,0.0,0.0,The address 192.102.255.82 is not in the database.,The address 192.102.255.82 is not in the database.,0.0,0.0
251,The address 192.102.255.82 is not in the database.,The address 192.102.255.82 is not in the database.,0.0,0.0,The address 204.244.196.60 is not in the database.,The address 204.244.196.60 is not in the database.,0.0,0.0
256,The address 192.102.254.82 is not in the database.,The address 192.102.254.82 is not in the database.,0.0,0.0,The address 207.34.62.46 is not in the database.,The address 207.34.62.46 is not in the database.,0.0,0.0
261,The address 64.16.236.18 is not in the database.,The address 64.16.236.18 is not in the database.,0.0,0.0,The address 192.102.255.83 is not in the database.,The address 192.102.255.83 is not in the database.,0.0,0.0
263,The address 192.102.255.83 is not in the database.,The address 192.102.255.83 is not in the database.,0.0,0.0,The address 70.35.217.90 is not in the database.,The address 70.35.217.90 is not in the database.,0.0,0.0
265,The address 206.116.28.32 is not in the database.,The address 206.116.28.32 is not in the database.,0.0,0.0,The address 192.102.254.82 is not in the database.,The address 192.102.254.82 is not in the database.,0.0,0.0
272,The address 98.143.85.28 is not in the database.,The address 98.143.85.28 is not in the database.,0.0,0.0,The address 192.102.254.82 is not in the database.,The address 192.102.254.82 is not in the database.,0.0,0.0
273,The address 192.102.254.82 is not in the database.,The address 192.102.254.82 is not in the database.,0.0,0.0,The address 98.143.85.28 is not in the database.,The address 98.143.85.28 is not in the database.,0.0,0.0
277,The address 192.102.254.82 is not in the database.,The address 192.102.254.82 is not in the database.,0.0,0.0,The address 209.165.2.196 is not in the database.,The address 209.165.2.196 is not in the database.,0.0,0.0
284,The address 208.89.128.69 is not in the database.,The address 208.89.128.69 is not in the database.,0.0,0.0,The address 192.102.255.83 is not in the database.,The address 192.102.255.83 is not in the database.,0.0,0.0
286,The address 192.102.255.83 is not in the database.,The address 192.102.255.83 is not in the database.,0.0,0.0,The address 74.216.209.100 is not in the database.,The address 74.216.209.100 is not in the database.,0.0,0.0
292,The address 192.102.254.82 is not in the database.,The address 192.102.254.82 is not in the database.,0.0,0.0,The address 64.253.149.78 is not in the database.,The address 64.253.149.78 is not in the database.,0.0,0.0
294,The address 99.199.100.126 is not in the database.,The address 99.199.100.126 is not in the database.,0.0,0.0,The address 192.102.254.82 is not in the database.,The address 192.102.254.82 is not in the database.,0.0,0.0
298,The address 216.251.136.82 is not in the database.,The address 216.251.136.82 is not in the database.,0.0,0.0,The address 192.102.254.82 is not in the database.,The address 192.102.254.82 is not in the database.,0.0,0.0
299,The address 192.102.254.82 is not in the database.,The address 192.102.254.82 is not in the database.,0.0,0.0,The address 216.251.136.82 is not in the database.,The address 216.251.136.82 is not in the database.,0.0,0.0
304,The address 208.68.17.35 is not in the database.,The address 208.68.17.35 is not in the database.,0.0,0.0,The address 192.102.254.82 is not in the database.,The address 192.102.254.82 is not in the database.,0.0,0.0
307,The address 192.102.255.82 is not in the database.,The address 192.102.255.82 is not in the database.,0.0,0.0,The address 199.167.109.148 is not in the database.,The address 199.167.109.148 is not in the database.,0.0,0.0
310,The address 199.167.109.148 is not in the database.,The address 199.167.109.148 is not in the database.,0.0,0.0,The address 192.102.255.82 is not in the database.,The address 192.102.255.82 is not in the database.,0.0,0.0
314,The address 64.253.148.230 is not in the database.,The address 64.253.148.230 is not in the database.,0.0,0.0,The address 192.102.254.83 is not in the database.,The address 192.102.254.83 is not in the database.,0.0,0.0
317,The address 64.253.148.142 is not in the database.,The address 64.253.148.142 is not in the database.,0.0,0.0,The address 192.102.254.82 is not in the database.,The address 192.102.254.82 is not in the database.,0.0,0.0
319,The address 68.68.117.64 is not in the database.,The address 68.68.117.64 is not in the database.,0.0,0.0,The address 192.102.255.82 is not in the database.,The address 192.102.255.82 is not in the database.,0.0,0.0
328,The address 192.102.254.83 is not in the database.,The address 192.102.254.83 is not in the database.,0.0,0.0,The address 198.134.28.91 is not in the database.,The address 198.134.28.91 is not in the database.,0.0,0.0
349,The address 68.68.120.84 is not in the database.,The address 68.68.120.84 is not in the database.,0.0,0.0,The address 192.102.255.83 is not in the database.,The address 192.102.255.83 is not in the database.,0.0,0.0
364,The address 192.102.254.82 is not in the database.,The address 192.102.254.82 is not in the database.,0.0,0.0,The address 52.43.50.205 is not in the database.,The address 52.43.50.205 is not in the database.,0.0,0.0
370,The address 184.70.143.10 is not in the database.,The address 184.70.143.10 is not in the database.,0.0,0.0,The address 192.102.254.83 is not in the database.,The address 192.102.254.83 is not in the database.,0.0,0.0
371,The address 192.102.254.83 is not in the database.,The address 192.102.254.83 is not in the database.,0.0,0.0,The address 204.244.196.60 is not in the database.,The address 204.244.196.60 is not in the database.,0.0,0.0
383,The address 96.48.216.170 is not in the database.,The address 96.48.216.170 is not in the database.,0.0,0.0,The address 192.102.254.83 is not in the database.,The address 192.102.254.83 is not in the database.,0.0,0.0
387,The address 206.116.17.91 is not in the database.,The address 206.116.17.91 is not in the database.,0.0,0.0,The address 192.102.254.83 is not in the database.,The address 192.102.254.83 is not in the database.,0.0,0.0
405,The address 24.85.12.83 is not in the database.,The address 24.85.12.83 is not in the database.,0.0,0.0,The address 192.102.254.82 is not in the database.,The address 192.102.254.82 is not in the database.,0.0,0.0
412,The address 216.13.74.18 is not in the database.,The address 216.13.74.18 is not in the database.,0.0,0.0,The address 192.102.254.83 is not in the database.,The address 192.102.254.83 is not in the database.,0.0,0.0
421,The address 24.137.209.24 is not in the database.,The address 24.137.209.24 is not in the database.,0.0,0.0,The address 192.102.255.82 is not in the database.,The address 192.102.255.82 is not in the database.,0.0,0.0
423,The address 52.43.50.205 is not in the database.,The address 52.43.50.205 is not in the database.,0.0,0.0,The address 192.102.254.83 is not in the database.,The address 192.102.254.83 is not in the database.,0.0,0.0
424,The address 192.102.255.82 is not in the database.,The address 192.102.255.82 is not in the database.,0.0,0.0,The address 209.15.238.70 is not in the database.,The address 209.15.238.70 is not in the database.,0.0,0.0
429,The address 205.205.107.11 is not in the database.,The address 205.205.107.11 is not in the database.,0.0,0.0,The address 192.102.254.82 is not in the database.,The address 192.102.254.82 is not in the database.,0.0,0.0
435,The address 207.81.181.34 is not in the database.,The address 207.81.181.34 is not in the database.,0.0,0.0,The address 192.102.254.83 is not in the database.,The address 192.102.254.83 is not in the database.,0.0,0.0
454,The address 192.102.254.82 is not in the database.,The address 192.102.254.82 is not in the database.,0.0,0.0,The address 216.123.248.93 is not in the database.,The address 216.123.248.93 is not in the database.,0.0,0.0
459,The address 192.102.254.83 is not in the database.,The address 192.102.254.83 is not in the database.,0.0,0.0,The address 98.143.85.28 is not in the database.,The address 98.143.85.28 is not in the database.,0.0,0.0
468,The address 199.167.109.157 is not in the database.,The address 199.167.109.157 is not in the database.,0.0,0.0,The address 192.102.255.82 is not in the database.,The address 192.102.255.82 is not in the database.,0.0,0.0
470,The address 192.102.255.82 is not in the database.,The address 192.102.255.82 is not in the database.,0.0,0.0,The address 208.89.128.69 is not in the database.,The address 208.89.128.69 is not in the database.,0.0,0.0
474,The address 206.80.250.122 is not in the database.,The address 206.80.250.122 is not in the database.,0.0,0.0,The address 192.102.255.83 is not in the database.,The address 192.102.255.83 is not in the database.,0.0,0.0
493,The address 184.66.55.251 is not in the database.,The address 184.66.55.251 is not in the database.,0.0,0.0,The address 192.102.254.83 is not in the database.,The address 192.102.254.83 is not in the database.,0.0,0.0
496,The address 108.63.14.135 is not in the database.,The address 108.63.14.135 is not in the database.,0.0,0.0,The address 192.102.255.83 is not in the database.,The address 192.102.255.83 is not in the database.,0.0,0.0
509,The address 192.102.254.83 is not in the database.,The address 192.102.254.83 is not in the database.,0.0,0.0,The address 52.43.50.205 is not in the database.,The address 52.43.50.205 is not in the database.,0.0,0.0
514,The address 208.68.17.38 is not in the database.,The address 208.68.17.38 is not in the database.,0.0,0.0,The address 192.102.254.82 is not in the database.,The address 192.102.254.82 is not in the database.,0.0,0.0
515,The address 205.205.107.10 is not in the database.,The address 205.205.107.10 is not in the database.,0.0,0.0,The address 192.102.254.82 is not in the database.,The address 192.102.254.82 is not in the database.,0.0,0.0
524,The address 162.156.67.161 is not in the database.,The address 162.156.67.161 is not in the database.,0.0,0.0,The address 192.102.254.82 is not in the database.,The address 192.102.254.82 is not in the database.,0.0,0.0
529,The address 192.102.254.83 is not in the database.,The address 192.102.254.83 is not in the database.,0.0,0.0,The address 204.101.100.12 is not in the database.,The address 204.101.100.12 is not in the database.,0.0,0.0
532,The address 173.180.255.229 is not in the database.,The address 173.180.255.229 is not in the database.,0.0,0.0,The address 192.102.254.82 is not in the database.,The address 192.102.254.82 is not in the database.,0.0,0.0
551,The address 74.205.211.122 is not in the database.,The address 74.205.211.122 is not in the database.,0.0,0.0,The address 192.102.254.82 is not in the database.,The address 192.102.254.82 is not in the database.,0.0,0.0
553,The address 192.102.254.82 is not in the database.,The address 192.102.254.82 is not in the database.,0.0,0.0,The address 96.48.216.170 is not in the database.,The address 96.48.216.170 is not in the database.,0.0,0.0
554,The address 199.47.127.19 is not in the database.,The address 199.47.127.19 is not in the database.,0.0,0.0,The address 98.159.46.82 is not in the database.,The address 98.159.46.82 is not in the database.,0.0,0.0
555,The address 98.159.46.82 is not in the database.,The address 98.159.46.82 is not in the database.,0.0,0.0,The address 209.15.222.223 is not in the database.,The address 209.15.222.223 is not in the database.,0.0,0.0
556,The address 199.47.127.19 is not in the database.,The address 199.47.127.19 is not in the database.,0.0,0.0,The address 192.102.255.82 is not in the database.,The address 192.102.255.82 is not in the database.,0.0,0.0
562,The address 199.47.126.6 is not in the database.,The address 199.47.126.6 is not in the database.,0.0,0.0,The address 192.102.255.83 is not in the database.,The address 192.102.255.83 is not in the database.,0.0,0.0
565,The address 192.102.254.82 is not in the database.,The address 192.102.254.82 is not in the database.,0.0,0.0,The address 99.199.100.126 is not in the database.,The address 99.199.100.126 is not in the database.,0.0,0.0
572,The address 96.53.67.195 is not in the database.,The address 96.53.67.195 is not in the database.,0.0,0.0,The address 192.102.254.83 is not in the database.,The address 192.102.254.83 is not in the database.,0.0,0.0
573,The address 192.102.254.83 is not in the database.,The address 192.102.254.83 is not in the database.,0.0,0.0,The address 209.165.1.212 is not in the database.,The address 209.165.1.212 is not in the database.,0.0,0.0
576,The address 207.216.147.38 is not in the database.,The address 207.216.147.38 is not in the database.,0.0,0.0,The address 192.102.254.83 is not in the database.,The address 192.102.254.83 is not in the database.,0.0,0.0
587,The address 192.102.254.83 is not in the database.,The address 192.102.254.83 is not in the database.,0.0,0.0,The address 199.119.233.76 is not in the database.,The address 199.119.233.76 is not in the database.,0.0,0.0
