,ID,calldate,callend,duration,connect_duration,progress_time,first_rtp_time,caller,caller_domain,caller_reverse,callername,callername_reverse,called,called_domain,called_reverse,sipcallerip,sipcallerport,sipcalledip,sipcalledport,whohanged,bye,lastSIPresponse_id,lastSIPresponseNum,sighup,dscp,a_index,b_index,a_payload,b_payload,a_saddr,b_saddr,a_received,b_received,a_lost,b_lost,a_ua_id,b_ua_id,a_avgjitter_mult10,b_avgjitter_mult10,a_maxjitter,b_maxjitter,a_sl1,a_sl2,a_sl3,a_sl4,a_sl5,a_sl6,a_sl7,a_sl8,a_sl9,a_sl10,a_d50,a_d70,a_d90,a_d120,a_d150,a_d200,a_d300,b_sl1,b_sl2,b_sl3,b_sl4,b_sl5,b_sl6,b_sl7,b_sl8,b_sl9,b_sl10,b_d50,b_d70,b_d90,b_d120,b_d150,b_d200,b_d300,a_mos_lqo_mult10,b_mos_lqo_mult10,a_mos_f1_mult10,a_mos_f2_mult10,a_mos_adapt_mult10,b_mos_f1_mult10,b_mos_f2_mult10,b_mos_adapt_mult10,a_rtcp_loss,a_rtcp_maxfr,a_rtcp_avgfr_mult10,a_rtcp_maxjitter,a_rtcp_avgjitter_mult10,b_rtcp_loss,b_rtcp_maxfr,b_rtcp_avgfr_mult10,b_rtcp_maxjitter,b_rtcp_avgjitter_mult10,a_last_rtp_from_end,b_last_rtp_from_end,payload,jitter_mult10,mos_min_mult10,a_mos_min_mult10,b_mos_min_mult10,packet_loss_perc_mult1000,a_packet_loss_perc_mult1000,b_packet_loss_perc_mult1000,delay_sum,a_delay_sum,b_delay_sum,delay_avg_mult100,a_delay_avg_mult100,b_delay_avg_mult100,delay_cnt,a_delay_cnt,b_delay_cnt,rtcp_avgfr_mult10,rtcp_avgjitter_mult10,lost,id_sensor,price_operator_mult100,price_operator_currency_id,price_customer_mult100,price_customer_currency_id,reason_sip_cause,reason_sip_text_id,reason_q850_cause,reason_q850_text_id,caller_silence,called_silence,caller_silence_end,called_silence_end,a_mos_xr_min_mult10,b_mos_xr_min_mult10,a_mos_xr_mult10,b_mos_xr_mult10,response_time_100,response_time_xxx,a_mos_f1_min_mult10,a_mos_f2_min_mult10,a_mos_adapt_min_mult10,b_mos_f1_min_mult10,b_mos_f2_min_mult10,b_mos_adapt_min_mult10,a_rtp_ptime,b_rtp_ptime,flags,ipaddr_caller,ipaddr_called,ipaddr_lat_sip_caller,ipaddr_lat_ip_called,ipaddr_lons_ip_caller,ipaddr_lons_ip_called,caller_city_asn,called_city_asn
269,76104757,2018-05-01 11:12:29,2018-05-01 11:14:12,103,93.0,3.0,3.0,device,sanitized,ecived,sanitized,sanitized,739320,sanitized,023937,3514832870,42333,1654599248,5060,caller,3,1,200,0,33687040,3.0,2.0,9.0,9.0,3514832870.0,1654599250.0,4623.0,4981.0,0.0,0.0,3931.0,2.0,22.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,45.0,45.0,45.0,45.0,45.0,45.0,,,,,,0.0,0.0,0.0,2.0,20.0,0.0,0.0,9.0,22.0,45.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,902,,255.0,,255.0,,,,,,,,,,,,,2.0,7.0,45.0,45.0,45.0,45.0,45.0,45.0,20.0,20.0,,209.128.23.230,98.159.46.80,47.5167,40.7432,-52.7833,-75.2242,Mount Pearl,Easton
381,76105633,2018-05-01 11:41:01,2018-05-01 11:43:06,125,118.0,2.0,2.0,device,sanitized,ecived,sanitized,sanitized,832512,sanitized,215238,2394021867,54465,1654599251,11000,caller,3,1,200,0,33687040,3.0,2.0,9.0,9.0,2394021867.0,1654599251.0,5885.0,6102.0,0.0,0.0,3931.0,2.0,26.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,45.0,45.0,45.0,45.0,45.0,45.0,65535.0,0.0,0.0,13.0,73.0,0.0,0.0,0.0,3.0,21.0,0.0,0.0,9.0,26.0,45.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,0.0,902,,255.0,,255.0,,,,,,,,,,,,,2.0,7.0,45.0,45.0,45.0,45.0,45.0,45.0,20.0,20.0,,142.177.223.235,98.159.46.83,45.0691,40.7432,-64.4696,-75.2242,New Minas,Easton
417,76104638,2018-05-01 11:09:11,2018-05-01 11:09:28,17,9.0,2.0,2.0,device,sanitized,ecived,sanitized,sanitized,739455,sanitized,554937,2393277605,1306,1654599251,11000,caller,3,1,200,0,33687040,3.0,2.0,9.0,9.0,2393277605.0,1654599251.0,416.0,709.0,0.0,0.0,3931.0,2.0,22.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,45.0,45.0,45.0,45.0,45.0,45.0,65535.0,0.0,0.0,4.0,41.0,0.0,0.0,0.0,2.0,22.0,0.0,0.0,9.0,22.0,45.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,902,,255.0,,255.0,,,,,,,,,,,,,2.0,6.0,45.0,45.0,45.0,45.0,45.0,45.0,20.0,20.0,,142.166.132.165,98.159.46.83,45.2308,40.7432,-66.0953,-75.2242,Saint John,Easton
706,76102913,2018-05-01 02:55:08,2018-05-01 03:02:22,434,433.0,0.0,1.0,604889,sanitized,988406,sanitized,sanitized,101,sanitized,101,3227975250,11000,1613813930,23715,callee,3,1,200,0,33685550,2.0,0.0,9.0,9.0,3227975250.0,1613813930.0,21630.0,21642.0,0.0,1.0,2.0,10.0,1.0,26.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,45.0,45.0,45.0,45.0,45.0,45.0,,,,,,,,,,,0.0,0.0,9.0,26.0,45.0,45.0,45.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,501,,255.0,,255.0,,,,,,,,,,,,,2.0,65.0,45.0,45.0,45.0,45.0,45.0,45.0,20.0,20.0,,192.102.254.82,96.48.216.170,43.6319,49.0997,-79.3716,-122.6526,,Langley
731,76105816,2018-05-01 11:41:15,2018-05-01 11:45:36,261,249.0,0.0,,709689,sanitized,986907,sanitized,sanitized,device,sanitized,ecived,3227975507,11000,417208698,24559,callee,3,1,200,0,33685504,,,,,,,,,,,2.0,3932.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,902,,255.0,,255.0,,,,,,,,,,,,,1.0,108.0,,,,,,,,,,192.102.255.83,24.222.25.122,43.6319,45.2,-79.3716,-64.1167,,Cambridge
738,76101740,2018-05-01 00:45:42,2018-05-01 00:58:38,776,767.0,1.0,9.0,604589,sanitized,985406,sanitized,sanitized,101,sanitized,101,3227975250,11000,1674011774,5060,callee,3,1,200,0,33685504,0.0,1.0,9.0,9.0,3227975250.0,1674011774.0,38244.0,38360.0,2.0,1.0,2.0,489.0,1.0,4.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,45.0,45.0,45.0,45.0,45.0,45.0,65535.0,20.0,3.0,0.0,1.0,,,,,,0.0,0.0,9.0,4.0,45.0,45.0,45.0,5.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,501,,255.0,,255.0,,,,,,,,,,,,,1.0,195.0,45.0,45.0,45.0,45.0,45.0,45.0,20.0,20.0,,192.102.254.82,99.199.100.126,43.6319,49.2667,-79.3716,-122.7833,,Coquitlam
755,76104448,2018-05-01 11:00:27,2018-05-01 11:01:31,64,56.0,1.0,8.0,506389,sanitized,983605,sanitized,sanitized,190246,sanitized,642091,1654599251,11000,3507482183,5060,caller,3,1,200,0,1572910,0.0,1.0,0.0,0.0,1654599251.0,3507482183.0,2829.0,1901.0,0.0,0.0,2.0,,1.0,7.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,45.0,45.0,45.0,45.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,65535.0,1.0,1.0,4.0,36.0,0.0,18.0,0.0,7.0,45.0,45.0,45.0,0.0,0.0,0.0,60.0,0.0,60.0,6000.0,0.0,6000.0,1.0,0.0,1.0,1.0,36.0,0.0,902,,255.0,,255.0,,,16.0,21.0,,,,,,,,,9.0,739.0,45.0,45.0,45.0,45.0,45.0,45.0,20.0,20.0,,98.159.46.83,209.15.238.71,40.7432,43.6021,-75.2242,-79.5402,Easton,Toronto
812,76102479,2018-05-01 02:00:38,2018-05-01 02:01:18,40,24.0,0.0,16.0,778869,sanitized,968877,sanitized,sanitized,117,sanitized,711,3227975251,11000,1168009517,1024,callee,3,1,200,0,33685504,0.0,1.0,0.0,0.0,3227975251.0,1168009517.0,1194.0,1188.0,0.0,0.0,2.0,27.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,45.0,45.0,45.0,45.0,45.0,45.0,,,,,,,,,,,0.0,0.0,0.0,3.0,45.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,501,,255.0,,255.0,,,,,,,,,,,,,1.0,191.0,45.0,45.0,45.0,45.0,45.0,45.0,20.0,20.0,,192.102.254.83,69.158.105.45,43.6319,43.7878,-79.3716,-79.1564,,Scarborough
816,76110402,2018-05-01 12:37:33,2018-05-01 12:37:54,21,13.0,1.0,1.0,709769,sanitized,967907,sanitized,sanitized,170970,sanitized,079071,1168965251,5060,1654599250,11000,callee,3,1,200,0,33697280,1.0,0.0,0.0,0.0,1168965251.0,1654599250.0,635.0,960.0,0.0,0.0,3336.0,2.0,2.0,5.0,1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,45.0,45.0,45.0,45.0,45.0,40.0,,,,,,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,5.0,45.0,45.0,45.0,0.0,0.0,0.0,300.0,0.0,300.0,30000.0,0.0,30000.0,1.0,0.0,1.0,3.0,0.0,0.0,902,,255.0,,255.0,,,16.0,21.0,,,,,,,,,1.0,404.0,45.0,45.0,45.0,45.0,45.0,35.0,20.0,20.0,,69.172.254.131,98.159.46.82,43.6496,40.7432,-79.3833,-75.2242,Toronto,Easton
826,76100961,2018-05-01 00:15:55,2018-05-01 00:16:44,49,35.0,0.0,14.0,519669,sanitized,966915,sanitized,sanitized,user_m,sanitized,m_resu,3227975507,11000,1176754522,1026,caller,3,1,200,0,33685504,0.0,1.0,0.0,0.0,3227975507.0,1176754522.0,1658.0,1675.0,0.0,0.0,2.0,3741.0,2.0,30.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,45.0,45.0,45.0,45.0,45.0,45.0,0.0,0.0,0.0,4.0,34.0,,,,,,,,0.0,30.0,45.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,801,,,,,,,16.0,21.0,,,,,,,,,1.0,80.0,45.0,45.0,45.0,45.0,45.0,45.0,20.0,20.0,,192.102.255.83,70.35.217.90,43.6319,44.25,-79.3716,-80.55,,Flesherton
915,76104475,2018-05-01 11:02:31,2018-05-01 11:03:14,43,40.0,0.0,3.0,259,sanitized,952,sanitized,sanitized,device,sanitized,ecived,1654599251,11000,417208698,61850,callee,3,1,200,0,33685504,0.0,1.0,9.0,9.0,1654599251.0,417208698.0,1983.0,2000.0,0.0,0.0,2.0,3931.0,4.0,26.0,28.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,45.0,45.0,45.0,45.0,45.0,45.0,65535.0,1.0,1.0,3.0,25.0,65535.0,0.0,0.0,10.0,35.0,0.0,0.0,9.0,26.0,45.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0.0,902,,255.0,,255.0,,,,,,,,,,,,,1.0,111.0,45.0,45.0,45.0,45.0,45.0,45.0,20.0,20.0,,98.159.46.83,24.222.25.122,40.7432,45.2,-75.2242,-64.1167,Easton,Cambridge
948,76108032,2018-05-01 12:14:29,2018-05-01 12:15:36,67,48.0,0.0,,709749,sanitized,947907,sanitized,sanitized,user_a,sanitized,a_resu,3227975507,11000,3514831954,5062,callee,3,1,200,0,33685504,,,,,,,,,,,2.0,3334.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,902,,255.0,,255.0,,,,,,,,,,,,,1.0,193.0,,,,,,,,,,192.102.255.83,209.128.20.82,43.6319,47.5167,-79.3716,-52.7833,,Mount Pearl
